"TCGA-OR-A5J2-01A-11R-A29S-07"	"TCGA-OR-A5J3-01A-11R-A29S-07"	"TCGA-OR-A5J6-01A-31R-A29S-07"	"TCGA-OR-A5J7-01A-11R-A29S-07"	"TCGA-OR-A5J8-01A-11R-A29S-07"	"TCGA-OR-A5J9-01A-11R-A29S-07"	"TCGA-OR-A5JA-01A-11R-A29S-07"	"TCGA-OR-A5JP-01A-11R-A29S-07"	"TCGA-OR-A5JR-01A-11R-A29S-07"	"TCGA-OR-A5JS-01A-11R-A29S-07"	"TCGA-OR-A5JT-01A-11R-A29S-07"	"TCGA-OR-A5JV-01A-11R-A29S-07"	"TCGA-OR-A5JW-01A-11R-A29S-07"	"TCGA-OR-A5JY-01A-31R-A29S-07"	"TCGA-OR-A5JZ-01A-11R-A29S-07"	"TCGA-OR-A5K0-01A-11R-A29S-07"	"TCGA-OR-A5K1-01A-11R-A29S-07"	"TCGA-OR-A5K3-01A-11R-A29S-07"	"TCGA-OR-A5K4-01A-11R-A29S-07"	"TCGA-OR-A5K5-01A-11R-A29S-07"	"TCGA-OR-A5K6-01A-11R-A29S-07"	"TCGA-OR-A5K8-01A-11R-A29S-07"	"TCGA-OR-A5KO-01A-11R-A29S-07"	"TCGA-OR-A5KU-01A-11R-A29S-07"	"TCGA-OR-A5KW-01A-11R-A29S-07"	"TCGA-OR-A5KX-01A-11R-A29S-07"	"TCGA-OR-A5KY-01A-11R-A29S-07"	"TCGA-OR-A5KZ-01A-11R-A29S-07"	"TCGA-OR-A5LD-01A-11R-A29S-07"	"TCGA-OR-A5LG-01A-11R-A29S-07"	"TCGA-OR-A5LH-01A-11R-A29S-07"	"TCGA-OR-A5LJ-01A-11R-A29S-07"	"TCGA-OR-A5LK-01A-11R-A29S-07"	"TCGA-OR-A5LL-01A-11R-A29S-07"	"TCGA-OR-A5LN-01A-11R-A29S-07"	"TCGA-OR-A5LO-01A-11R-A29S-07"	"TCGA-OR-A5LP-01A-11R-A29S-07"	"TCGA-OR-A5LS-01A-11R-A29S-07"	"TCGA-OR-A5LT-01A-11R-A29S-07"	"TCGA-OU-A5PI-01A-12R-A29S-07"	"TCGA-PA-A5YG-01A-11R-A29S-07"	"TCGA-PK-A5H9-01A-11R-A29S-07"	"TCGA-PK-A5HA-01A-11R-A29S-07"
"BECN1"	1233.5387	1300.631	1842.9864	444.0794	1399.7058	908.451	1014.6882	851.1682	1102.6667	687.7321	1200.2795	1471.8795	936.8407	1500.8598	1039.6507	1669.3235	1134.394	711.423	1012.1522	1332.2095	1770.4543	441.3788	860.1265	835.2383	1113.8491	1293.9675	511.2252	1065.5394	218.0733	615.4613	1595.8525	974.6489	847.3559	1537.7239	618.9249	518.3998	1079.1845	1010.1779	1508.801	1010.1995	1269.6764	1674.019	876.8357
"RB1"	2482.6189	1144.7193	953.9684	665.8644	928.7194	1920.2083	1085.6237	572.2442	1461.0329	160.9323	1224.6832	2232.0872	998.6836	1257.5011	1505.2897	618.9218	1357.2515	1217.3351	1417.4781	290.3078	1320.5452	1917.2714	81.537	438.049	1540.7047	1000.478	1966.5744	953.9394	514.2469	1168.9228	916.933	1345.0793	1466.1017	1207.1183	1253.1792	1559.3465	1396.7644	733.8641	1823.9796	1019.9544	1429.0337	1316.9327	1008.8203
"ESR1"	34.6262	6.5176	46.944	12.8359	121.84	8.1595	18.4989	69.8287	10.3286	109.8779	4.2639	79.4393	159.7192	25.5262	5.3736	19.556	23.1867	10.3493	1.6808	21.5893	59.5659	4.3541	1.4058	6.7277	7.0204	140.0574	17.7089	140	66.4858	58.6964	6.9465	4.5306	162.7119	48.4522	9.2486	49.4954	40.109	8.1315	40.8163	34.7777	90.6149	88.284	101.9846
"PTEN"	2957.7228	1185.0096	909.8187	2018.4517	1872.7725	1599.607	879.4926	2471.6733	1120.1878	1024.7873	1179.2017	1000.5192	1896.4458	1051.5002	961.2091	709.3023	944.8591	965.0712	900.3507	1416.169	1390.207	1506.5312	1112.4649	1125.7709	1429.9986	1420.6501	1479.1367	1480.6061	1499.3216	1243.9995	627.9602	1920.4631	1022.0339	1821.4446	972.2543	1417.5877	1202.3898	1984.7535	1631.8027	2112.3147	1264.4475	1352.5255	1547.409
"PIK3CA"	583.4114	192.5641	216.2775	344.9659	265.23	242.0659	220.9302	247.6943	344.6009	489.4562	163.449	412.7726	377.3585	305.8665	211.5869	129.4926	120.0741	99.6119	196.6541	252.6412	195.8607	92.8882	523.8988	145.0196	167.9492	183.5564	208.5224	208.4848	137.0421	194.7446	166.252	650.3901	189.8305	573.6504	228.9017	249.3993	293.9861	430.2897	283.1633	453.8198	472.9542	553.7817	318.0816
"CDKN1A"	645.4165	5932.7507	4286.9897	1406.3377	4181.9312	1271.866	3147.9915	6501.9763	7551.6432	15533.8513	6216.7476	8304.7767	9111.8912	18609.494	11018.6398	484.1438	8781.1442	5822.7684	3561.6239	10730.3629	4869.258	8046.4441	2479.3814	3052.8873	12208.9915	2370.4589	738.9043	1073.3333	2895.5224	9000.5688	5403.8847	937.327	4388.1356	3450.8748	2754.9133	3419.0293	8909.056	3106.2172	5278.0612	4016.5336	5417.938	3503.7948	13205.6229
"GATA3"	922.0236	21.9227	2.2354	738.8688	50.9739	388.2574	19.0275	848.4848	7.5117	329.2638	1.8951	21.8069	30.2764	1.3435	8.7322	6.871	5.7967	12.9366	26.8929	261.3689	2.0192	17.4165	9.8407	8.2228	174.4296	124.761	525.5119	44.2424	648.5753	130.5881	20.8394	73.9995	28.8136	1.1964	20.8092	22.5853	14.545	50.8216	33.1633	137.4002	26.3523	8.0258	11.0254
"PEA15"	11211.6417	2547.7707	2417.0552	3874.4485	6978.0274	6499.0621	4226.7442	2772.0641	2336.6197	6937.0958	2541.7506	3973.001	2146.5555	4255.7053	1731.6541	10225.1586	2766.6732	2054.3338	1517.7661	5525.4938	6073.1954	5220.6096	2964.3861	3287.6023	7805.0493	1996.1759	9654.0077	4577.5697	6396.2008	5415.5386	1838.4971	3580.1611	3569.4915	25518.1576	3634.6821	1848.1499	4731.5449	1466.3663	2973.6395	6291.9042	3335.6449	1656.8089	2489.5259
"SMAD3"	1256.6094	524.9593	407.4065	877.6574	2392.0431	1530.591	1052.3256	654.3698	267.6056	1747.3178	379.486	259.0862	930.6713	1072.996	649.5382	1366.8076	673.2431	250.9702	584.3596	932.0165	507.3195	567.4891	535.1453	814.0534	1076.2792	1258.6042	1218.373	1164.2424	951.1533	1013.3091	261.187	1458.8472	749.1525	1312.9954	405.7803	1372.8976	293.9861	300.864	465.1361	559.8632	626.9071	2869.057	667.0342
"RAF1"	3530.2632	1662.5685	1695.5712	1632.9723	2255.2839	1899.1296	2085.0951	1550.7246	2699.061	1688.8642	1648.7031	1339.0447	1361.5621	2711.5987	1794.1226	2541.6438	1605.6807	1596.3777	1682.4849	2197.5195	1795.5578	1252.5399	1641.0497	1311.1568	1650.3308	1686.9025	2046.7072	3141.8182	2025.7802	2281.8792	1583.3303	2258.7465	2970.7458	1720.3529	2052.0231	1667.9481	1558.5228	1390.4794	1744.6599	1539.3387	1627.3694	2402.8614	2767.9162
"EIF4G1"	17078.373	10783.5876	7865.9079	13821.9013	7317.4472	9494.9679	7644.2918	7270.0922	18534.7418	10942.6563	13704.6074	16615.784	9651.6016	13110.1657	12680.4366	6860.9937	7419.7522	5223.8034	9471.3311	9737.2531	9456.3352	4091.4369	11257.732	6872.7341	11185.0952	8570.2677	8878.3619	7391.5152	4324.2877	8849.0502	8792.3691	6358.4193	11311.8644	11113.5038	9114.4509	6570.3988	10291.7162	14900.2202	8613.9456	11842.6454	9491.9094	8918.0843	14484.5645
"AXL"	356.3279	363.2055	257.6329	192.9402	825.114	130.2124	266.9133	180.9398	300.4695	219.0159	108.966	1725.8567	310.2238	235.1097	195.466	1277.4841	229.383	375.1617	95.8058	102.4345	309.9445	169.8113	146.6729	174.9206	82.0845	126.673	410.404	727.2727	678.4261	526.4475	257.4822	327.7121	700	80.1555	460.1156	203.2677	581.3608	147.7215	91.8367	232.6112	657.4202	205.5308	678.0595
"ATM"	835.8607	780.9213	1023.8255	695.9487	570.6589	444.0142	464.0592	425.9991	922.5352	1186.4595	1068.3406	1511.4226	942.0799	922.9736	1348.1108	559.1966	813.1916	842.1734	997.2771	712.4483	584.0485	796.807	850.0469	826.0138	833.2658	911.0899	921.7488	1046.6667	1401.6282	1101.5812	779.3931	1043.0405	1040.678	1522.3568	1060.1156	847.6694	1030.4939	675.5887	580.7823	621.4367	972.7231	2196.2837	659.8677
"MAPK1"	4155.9508	1929.7882	1581.0056	1468.5118	2222.1301	1800.5353	1915.4334	2363.1972	1538.0282	3026.6371	3140.5898	1427.8297	2412.9004	7535.6023	2808.3963	2503.6998	2295.4858	1909.4437	2342.4806	1688.5622	3080.7673	1499.2743	2496.7198	1320.8746	2776.2927	1268.6424	2778.0852	2068.4848	1774.7626	1738.1413	3188.8894	2372.5145	1747.4576	3245.7006	1243.9306	2538.2028	2803.6662	2199.5595	1474.4898	2346.0661	2794.2672	2126.145	2039.14
"TP53BP1"	1580.7269	926.6775	837.7262	914.1596	912.557	1254.867	1458.2452	662.2749	1818.3099	1740.2886	1446.4053	1775.7009	1423.4313	1523.9588	1250.7137	723.0444	1098.8852	1260.0259	1019.1276	661.4607	1037.3549	609.5791	788.1912	1239.3945	2498.7174	920.6501	1344.1063	941.8182	527.8155	997.3837	1106.3399	988.6735	644.0678	1796.3212	1490.1734	2096.1076	1919.0635	1059.1225	670.068	1164.7662	1018.9552	995.8999	1475.1929
"NEK7"	2243.4565	1980.7436	1940.9093	1052.9483	762.9507	1155.9328	916.4905	2073.7813	2358.6854	964.4839	2984.2473	4054.5171	1105.7481	2034.4828	4981.3602	417.5476	1908.7644	851.229	1637.6635	915.0207	1089.8536	1271.4078	1950.328	1489.815	916.4304	999.522	890.3154	990.303	1432.8358	2103.0599	1537.9468	641.8324	555.9322	3191.2666	1641.6185	925.036	1827.3857	2051.838	1510.2041	1381.4139	1587.1475	1932.1295	906.8357
"BIRC2"	1087.102	914.2349	1180.8642	2002.4067	822.6274	614.0043	1029.5983	1080.3689	682.6291	977.0625	563.7806	644.8598	868.8021	1660.5464	703.9463	1150.6342	577.1838	633.8939	721.6252	1338.0799	659.7678	496.3716	943.299	1139.2263	846.2265	867.1128	1031.544	984.8485	563.0936	845.8651	703.9082	849.7357	515.2542	1085.6886	435.8382	1093.7049	733.4225	1156.0224	792.517	1025.6556	730.0046	2761.5807	565.6009
"NOTCH1"	667.1585	338.3202	279.4283	425.9928	1469.9544	558.5875	227.2727	243.3026	401.8779	247.8727	244.9366	491.1734	384.3791	215.8531	436.6079	239.9577	547.3723	126.7788	346.2456	143.3165	178.6976	220.6096	265.2296	151.7473	199.271	191.6826	599.8893	601.8182	112.6187	273.0065	245.4417	902.0891	735.5932	136.9822	319.0751	325.8049	733.8633	233.7794	260.2041	526.7959	798.4281	947.396	1132.8556
"MAPK9"	1750.2343	1466.4494	751.1034	806.6586	684.6249	1027.7602	1043.3404	998.6825	2204.2254	1367.7395	2475.8972	1951.7134	3590.1711	986.1173	2680.1008	1000	1890.5462	2196.6365	2006.8801	644.9242	873.2963	3146.5893	1613.8707	2226.8735	1853.3819	913.0019	1254.2335	728.4848	540.0271	964.1679	1844.9804	1495.5953	2620.339	2201.2861	1322.5434	1340.7016	1885.5658	1846.5187	1903.0612	1740.5929	2419.7873	1117.683	1888.6439
"YWHAZ"	10031.9387	12205.0067	11155.3384	11113.919	9000.4144	14603.8508	13775.8985	10618.7967	17203.7559	13727.34	17269.6909	14984.9429	8643.2646	10871.9212	23090.5122	7996.3002	14616.7462	5376.4554	17931.9386	14564.079	11551.2367	7972.4238	25111.059	12524.7617	14602.4031	12479.4455	11639.181	15319.3939	13207.5984	12766.2382	12140.564	18978.6056	13000	9390.16	16243.9306	8596.8284	7811.1261	6619.0073	8799.3197	10182.4401	7410.5409	6528.134	24735.3914
"VASP"	994.8997	1495.4822	962.3512	1149.6189	1859.0966	1323.883	1828.2241	697.848	1040.8451	1094.7096	713.0167	1477.1547	2317.2444	988.3565	1210.4114	728.8584	1953.4816	1236.74	1066.7503	1489.6647	1108.531	3969.521	1596.5323	908.2415	1932.2263	2678.7763	4525.0692	1447.2727	1248.3039	2246.8434	801.1587	2050.8432	2149.1525	585.0157	2003.4682	1527.1504	1169.7736	1334.9145	1549.3197	3396.8073	1039.2973	970.0776	2111.3561
"XRCC5"	3982.4171	3291.3642	6416.2337	6913.3574	4833.4024	3489.5571	3890.0634	4568.2916	2986.385	4019.2379	3342.4138	4382.1391	2960.509	5205.5531	3934.8447	2123.1501	3352.138	2998.7063	3939.2445	4247.1291	4709.2378	2316.4006	3596.5323	3300.3177	3634.3999	3430.6883	3817.5982	5960	5192.673	3699.2379	3582.9853	2713.8183	3347.4576	4481.5313	2168.7861	2894.2816	3482.8754	2850.0762	2949.8299	3243.4436	3402.6815	4505.2779	3298.2359
"ITGA2"	973.1576	936.1576	114.5656	509.0253	104.0199	174.7498	184.4609	177.8656	175.5869	2510.5438	1014.3314	232.6064	3225.9763	5649.7985	1017.6322	1092.4947	306.396	49.1591	105.3304	410.1975	1805.6537	66.7634	270.8529	713.1377	108.0059	53.0593	507.803	272.7273	13.5685	356.7285	290.3621	701.2333	210.1695	6316.734	467.052	389.2359	1316.5463	711.5026	622.449	3513.1129	2285.252	246.0089	94.8181
"CASP7"	274.1913	277.8848	438.1436	592.0578	920.0166	225.0669	332.4524	471.2341	250.7042	372.549	273.3625	206.6459	321.1935	721.451	548.1108	482.5581	266.6473	155.2393	340.643	378.0432	289.7527	394.775	362.2306	241.4502	245.1735	398.1836	85.8882	615.1515	109.905	148.3335	148.6543	244.6514	215.2542	321.8185	257.8035	223.9308	182.9149	145.6886	179.4218	500.5701	224.6879	397.4527	270.6725
"BAP1"	5964.9691	2914.5312	2959.705	7223.4256	2289.2665	2133.7159	2234.1438	1965.7444	3672.3005	5788.7532	2281.6534	3227.9335	1634.9276	1935.0649	1657.7666	2721.4588	2120.7573	2075.0323	2779.4897	2626.5503	5694.0939	1896.9521	1761.9494	1771.6315	1873.9031	2551.1472	2166.6851	3022.4242	3431.479	3369.355	4025.2434	2813.9945	3420.339	2579.9312	2285.5491	2417.5877	2034.1015	2699.6442	1562.9252	1557.0125	1601.9417	2342.4932	3111.3561
"STK11"	1512.6824	2987.4093	3416.291	2050.9426	1285.5367	2845.2945	2612.5793	4251.6469	1303.7559	2329.2638	1465.3559	885.2544	2227.7315	1734.8858	1514.0218	3631.6068	2760.8765	1874.5149	2276.9293	2322.4621	1990.9137	3300.4354	2769.9157	2347.2248	2140.6777	2752.8681	2272.4958	1872.1212	1032.5645	2267.7739	2123.7651	1339.5419	2400	2161.2083	1554.9133	2842.3835	1935.8123	1955.6158	1803.5714	978.3352	1802.1267	1466.9807	1826.3506
"ADAR"	10011.0019	3548.5113	3462.1172	3186.5223	5753.0046	4183.4567	3614.1649	3444.4444	3500.939	5042.1754	4626.3177	7396.6771	3043.0013	5209.1357	4020.1511	7719.3446	3564.131	3181.1125	3773.4052	4452.4575	5914.1848	2387.5181	1996.7198	4321.4352	4417.983	3445.9847	3429.7731	2994.5455	2310.7191	3325.219	4425.3597	2880.443	3066.1017	36943.3229	2626.5896	2727.0543	5023.3272	5918.3466	2889.4558	5076.9669	3816.4586	5585.9723	5632.8556
"BRCA2"	29.392	31.9953	8.3829	63.7786	95.317	31.2782	155.9197	37.769	31.9249	56.6038	45.4815	38.9408	24.1334	171.5181	116.8766	16.3848	31.4677	31.0479	94.6853	14.2398	13.6295	26.1248	158.388	8.2228	165.7891	62.6195	173.5473	141.8182	16.2822	13.1953	10.1881	34.2311	10.1695	3.5891	15.0289	50.937	27.7678	25.072	68.8776	26.7959	15.7189	16.0516	20.3969
"EGFR"	126.4259	635.7517	377.2283	401.5203	267.7124	99.2742	533.2981	59.2885	617.3662	285.2386	173.3981	214.9533	1771.3734	47.4698	186.0554	50.74	86.1221	102.1992	129.4219	139.6417	71.681	253.9913	424.0862	35.8811	792.202	304.4933	170.8866	216.3515	56.9878	217.4952	195.8902	120.8155	127.1186	1280.0957	141.0405	1180.6776	1465.9591	629.5104	169.2177	763.9624	1457.6976	108.1706	458.6494
"CCNE1"	321.7017	279.6623	665.0395	1218.211	163.2822	744.2167	1820.8245	1199.3852	249.2958	684.4247	533.9334	969.8858	412.4616	526.6458	1059.9496	309.7252	639.2911	853.8163	1275.17	1096.9224	221.6052	532.656	865.0422	725.8456	335.8985	2444.5507	2886.995	630.9091	1037.9919	274.8265	450.5939	462.6227	266.1017	58.6212	167.6301	1078.8083	237.569	414.7044	491.4966	425.8837	180.7675	645.2063	371.5546
"FASN"	3878.9411	7206.0435	1969.9698	7876.0529	1627.8492	4789.9815	5099.3658	22058.8494	2884.507	5820.5697	1265.427	1201.4538	3644.1422	16864.3081	1049.2024	1292.8118	1023.5283	2020.6986	4593.6376	8073.4956	17089.3488	1336.7199	2656.5136	3682.3024	5478.0613	842.7342	13266.6298	4782.4242	3624.152	3196.9059	3824.7222	1280.6443	461.0169	835.6513	1875.1445	5373.8587	1204.5936	2929.358	2361.3946	8066.1345	773.4628	1206.316	1390.849
"EEF2"	60493.2021	138357.5767	38989.7548	105764.9418	33377.1239	66909.4692	53806.5539	124748.3531	48983.5681	40381.798	35473.6468	18423.1568	61866.6082	31297.8056	46419.4794	62663.8478	37130.2287	50447.6067	37699.8756	69171.3367	53960.6259	60445.5733	39411.9025	45575.0327	63429.1886	40808.3174	89845.2684	59613.9394	54428.7653	35546.3542	25417.5692	79133.6522	70132.2034	27541.7975	38145.6647	143940.4133	94731.3906	48243.2661	30827.381	19684.7206	94239.4822	30466.719	86059.5369
"MTOR"	1274.7278	1429.7141	1038.9146	1612.9162	1077.4969	808.133	1137.4207	1018.4453	1000	1261.1913	994.4333	658.8785	1248.3545	1931.9301	927.6238	1265.3277	619.4168	727.0375	767.0069	901.2402	951.5396	568.9405	765.6982	757.9892	906.7099	547.8011	1345.4344	793.3333	976.9335	521.8974	807.1789	1940.599	723.7288	542.5452	646.2428	543.9692	1253.9586	908.6905	633.5034	786.203	742.4873	1324.9586	664.2778
"SERPINE1"	1629.8478	5576.0628	8854.5254	272.7637	14390.7998	394.3771	8840.9091	313.5705	188.2629	1985.2016	622.0538	3026.999	1073.7165	12068.5177	603.8623	4001.5856	406.5958	755.4981	60.5089	1765.7327	1167.5921	9393.3237	3737.1134	1921.8838	31268.7998	294.9331	602.5457	2993.9394	80.0543	2988.511	6637.5764	591.996	205.0847	789.5917	360.6936	1214.8006	2173.822	8.8091	69.7279	455.5302	660.1942	1762.1914	347.8501
"YWHAE"	9881.3549	7802.1034	8633.777	8570.3971	9157.4803	9467.4295	8375.7928	7216.9521	9643.662	5582.3159	8703.5414	9439.2523	7432.6459	5379.7582	9306.4652	8930.7611	9393.1082	10090.5563	9260.11	9177.3082	11019.1822	9195.9361	11430.1781	7008.0359	8733.9004	5958.891	9731.9314	15421.2121	19013.5685	15348.4245	8880.3576	8380.0654	11400	8029.3106	13635.8382	7780.394	7183.0449	8388.2771	15986.3946	8281.0718	7822.0065	7663.2644	8272.3264
"MAPK3"	1699.3821	2347.2434	2543.4239	947.136	1584.281	1787.8812	1511.3742	766.4603	2174.7793	997.2364	1894.971	1824.8131	1255.1294	881.7331	1750.4349	1832.167	2578.8939	1264.6184	1979.9872	2578.3004	2206.8804	1215.6894	1947.4227	1378.1574	1987.0177	1065.6979	1062.2512	1079.1818	1152.3609	1217.0675	721.5893	1020.1057	1131.1525	1106.0685	1386.5434	870.2066	2571.144	1098.7769	1406.4286	1190.0912	3244.2395	1013.4694	2446.1246
"INPP4B"	578.5799	20.1452	4.4709	17.6494	40.6133	79.2154	26.9556	131.3131	88.7324	142.4343	117.02	380.0623	14.48	75.2351	14.7775	85.6237	81.9816	19.4049	135.5849	225.9991	26.2494	10.1597	12.6523	193.6087	4.3202	8.1262	9.7399	20.6061	20.3528	20.4755	43.0681	21.6461	71.1864	113.0552	26.5896	56.223	208.4789	7.4538	34.0136	320.9806	375.4045	200.6456	25.3583
"PCNA"	688.498	1216.4124	1118.8311	2697.152	2113.1372	1663.8632	2551.2685	2687.747	2177.9343	1650.0185	2368.3525	1420.0415	1879.7718	4362.7407	3142.2334	2407.5053	4113.9876	2072.445	3801.9789	1494.7175	1559.3135	3235.1234	2976.1012	2456.3633	1926.2859	1188.8145	4016.3807	8136.3636	1451.8318	1703.1054	1055.3992	1884.7219	1372.8814	1304.0227	1965.3179	879.8654	2096.2485	1519.9051	2838.4354	3632.2691	2269.5331	1262.8457	1174.2007
"ACVRL1"	427.9961	276.6997	419.7014	439.631	3811.0236	328.0809	410.148	249.8902	292.4883	158.7125	270.9937	305.8152	256.2527	485.8934	335.1805	81.9239	529.1542	221.216	133.3438	785.944	207.471	310.5951	178.538	141.282	274.3351	223.2314	354.1782	440.6061	371.7775	373.5639	394.096	467.6567	481.3559	157.9183	327.1676	206.6314	507.754	275.792	68.0272	183.5804	658.3449	580.3018	528.6659
"TSC1"	1147.094	853.2069	739.9263	1112.3145	704.5172	948.5448	967.759	855.5116	914.0845	755.8269	792.1355	1073.2087	1008.7758	929.691	628.0437	700.8457	452.9692	714.1009	1184.9669	631.6031	1141.8476	1235.1234	1317.2446	370.7718	578.9118	1886.7113	1111.2341	909.0909	2080.0543	1002.8438	607.5839	1659.703	718.6441	2008.6735	1438.1503	719.8462	629.4035	1097.7469	1442.1769	1134.5496	434.1193	1387.0714	1404.6307
"CHEK2"	99.8523	879.2771	177.1576	601.6847	582.6772	57.4567	533.2981	208.6078	40.8451	592.6748	54.0092	67.4974	369.4603	285.7143	88.665	1260.0423	153.198	195.3428	133.9041	294.9012	363.4528	142.2351	417.5258	184.6384	162.0089	139.5793	385.6115	323.0303	194.0299	63.2465	218.582	289.9572	72.8814	259.6082	80.9249	208.073	59.9432	300.1863	132.6531	554.732	63.8003	178.3128	66.1521
"BAK1"	400.2146	963.4128	704.1594	2865.6237	527.5591	708.1788	1487.8436	1083.004	618.3099	1384.0178	812.0336	280.3738	1606.4063	1231.9749	709.9916	1455.074	1015.2473	606.727	621.3372	1678.4566	1061.5851	846.1538	773.6645	532.9845	516.8084	952.1989	1140.8965	759.3939	534.5997	390.3993	268.5965	602.0639	684.7458	621.5044	832.3699	102.8352	894.7402	481.1113	295.068	640.2509	505.3167	677.3096	411.7971
"SMAD4"	1502.8743	740.0385	672.3046	791.0148	1324.4923	972.3435	919.1332	908.2126	806.662	530.5216	377.1171	841.1215	965.0066	908.1953	973.9715	1424.4186	698.9142	554.9806	699.2145	683.0501	1592.1252	605.225	1020.15	654.8309	855.9471	1615.2008	965.5783	1530.303	811.3976	653.3955	856.7304	1124.591	772.8814	1123.3737	826.5896	1038.6016	787.3229	766.207	666.6667	132.2691	917.8456	2144.9045	736.505
"TSC2"	2486.2426	2739.1498	1346.8446	1064.9819	1435.9718	1423.1572	2024.8414	2032.0597	2345.5399	1376.2486	2899.9171	1731.568	1796.4019	1270.936	2101.0915	1503.6998	1955.9659	1983.1824	2925.7197	1877.3542	1232.206	1306.2409	2119.0253	1553.3545	2326.988	2218.9293	1367.1278	1557.5758	2241.5197	792.6288	906.2818	1144.7269	1225.4237	1410.498	1228.9017	1352.715	2704.9363	1913.6033	1551.0204	1954.9601	1707.8132	1488.9645	1957.5524
"PECAM1"	1155.5492	946.2302	1104.3008	730.4452	2210.9407	980.163	843.5518	742.2047	605.6338	385.4976	456.2359	912.7726	591.0487	1813.7035	805.3736	294.926	1797.7993	1257.4386	301.9845	1188.7919	1112.5694	715.5298	498.1256	826.7614	828.4056	1973.7094	777.8639	2201.8182	849.3894	791.7188	771.5204	733.4508	2406.7797	216.5396	1619.6532	1138.8755	1155.2286	349.6527	323.1293	271.3797	1362.4595	1108.6103	1657.6626
"CTNNB1"	62658.3913	6337.4256	8800.3107	6682.2984	7241.1935	15656.076	6880.0159	4431.2648	6862.4178	10269.6707	6486.7701	7333.8214	5933.7253	20345.6919	5113.6793	21124.7304	3305.7646	2853.7775	5548.3231	17288.011	17062.5896	2468.7954	3697.7413	9091.3773	7898.4636	20366.152	9263.513	7047.8788	4605.1425	8395.3407	7195.5996	10080.5135	4740.6441	5637.7748	3588.3584	14416.6074	5977.5522	7543.256	6266.9728	9478.3238	8148.4004	5258.9863	8120.1654
"LCN2"	439.2697	509.5541	0	1.6045	0.8288	0	85.0951	15.3711	181.6901	22.9375	2391.567	184.3198	12.7249	26.8697	262.6364	33.2981	413.2206	168.1759	110.3728	174.5521	316.5068	4.3541	14.9953	8.2228	9.1805	191.2046	2.6563	1.2121	2.7137	584.2339	501.0715	35.7413	237.2881	82.5482	215.0289	67.2753	2288.4193	4.0657	0.8503	651.6534	310.2173	5.5832	329.6582
"YBX1"	4452.2868	5243.6676	5470.6481	5703.57	9914.2147	4702.9465	6790.6977	7921.3878	3123.0047	3016.6482	3373.6823	4014.0187	3095.656	4864.7559	3279.2611	2536.4693	3547.569	3818.8875	3898.345	5368.3969	3227.6628	3049.3469	4604.9672	2762.1005	5675.1721	4183.5564	7528.5003	7869.0909	3983.7178	3021.7268	3449.1502	11522.2754	4703.3898	2979.5125	3801.1561	2537.2417	3684.7429	3214.6366	2902.2109	2395.667	3547.3879	3455.2909	3843.9912
"RPS6"	20627.1572	21680.3437	13973.0938	20075.4112	15559.0551	6238.2972	19056.0254	28571.805	10936.6197	13478.7273	5766.6706	10998.4424	18918.3853	10012.0914	15809.9076	12192.389	25349.7159	15248.3829	10965.0057	17062.0119	17148.9147	30410.7402	22799.9063	10886.937	11624.1393	26211.7591	42941.0072	17743.0303	42240.1628	20702.0817	8707.6222	79873.1437	38605.0847	14326.3048	32351.4451	20162.4219	17100.5569	14181.9414	24347.7891	9289.0536	26331.9464	7618.599	39014.333
"NFE2L2"	2491.8392	1769.8119	2928.845	2487.5933	2534.6042	1114.0812	1598.8372	2179.5608	1979.6901	3188.9456	1792.6898	1804.2575	1305.2216	1525.8307	2140.3123	1666.3901	2286.9896	1878.2277	1861.6474	1207.8043	3101.9132	1050.7983	1710.7826	1100.3177	2105.2194	3114.3881	1857.1555	2234.9091	1025.7802	3361.1148	1597.2233	1761.3894	1830.5085	3242.7097	1099.422	1895.2427	1811.5889	1034.7281	1600.0765	1360.6727	2156.8516	2236.4686	1592.0617
"MAPT"	153.4022	888.7572	1959.9104	297.6334	45.172	117.9731	165.9619	38.6473	13.615	27.7469	243.9891	241.433	137.7797	114.644	2.0151	156.9767	14.0777	40.1035	176.4844	230.5926	36.3453	172.7141	213.6832	258.6432	2182.8001	309.2734	390.0387	5.4545	10.8548	3.6401	225.5285	303.0456	118.6441	264.3936	38.1503	2420.9515	17.1896	458.0722	899.6599	517.1038	36.061	206.5777	197.9052
"CDH3"	2.4158	21.3302	0	6.0168	4.1442	1.6999	33.8266	3.9526	5.6338	1.1099	6.1589	4.1537	7.4594	0.4478	4.7019	4.7569	6.6248	25.8732	44.2612	1.378	1.0096	7.2569	3.7488	10.4653	18.361	20.0765	2.2136	9.697	17.6391	20.0205	16.6715	6.5442	15.2542	4.7854	5.7803	10.0913	24.6825	0	7.6531	2.8506	21.2668	0.6979	3.8589
"PRKCA"	78.1103	1570.7303	6284.3435	762.5351	1466.639	625.9036	1929.1755	3196.7501	9818.7793	604.1435	9712.1876	1455.3479	1067.5735	2188.5356	3424.3493	346.1945	4305.2781	5190.1682	8129.4891	134.5889	250.8834	1238.0261	439.0815	1290.2261	892.1291	4458.413	138.5722	68.4848	1553.5957	205.2099	2262.2313	173.1689	1242.3729	4716.0162	5967.6301	945.2186	4613.8623	453.3288	3187.0748	630.5587	2478.0398	2452.4121	6228.2249
