"TCGA-OR-A5J2-01A-11R-A29S-07"	"TCGA-OR-A5J3-01A-11R-A29S-07"	"TCGA-OR-A5J6-01A-31R-A29S-07"	"TCGA-OR-A5J7-01A-11R-A29S-07"	"TCGA-OR-A5J8-01A-11R-A29S-07"	"TCGA-OR-A5J9-01A-11R-A29S-07"	"TCGA-OR-A5JA-01A-11R-A29S-07"	"TCGA-OR-A5JP-01A-11R-A29S-07"	"TCGA-OR-A5JR-01A-11R-A29S-07"	"TCGA-OR-A5JS-01A-11R-A29S-07"	"TCGA-OR-A5JT-01A-11R-A29S-07"	"TCGA-OR-A5JV-01A-11R-A29S-07"	"TCGA-OR-A5JW-01A-11R-A29S-07"	"TCGA-OR-A5JY-01A-31R-A29S-07"	"TCGA-OR-A5JZ-01A-11R-A29S-07"	"TCGA-OR-A5K0-01A-11R-A29S-07"	"TCGA-OR-A5K1-01A-11R-A29S-07"	"TCGA-OR-A5K3-01A-11R-A29S-07"	"TCGA-OR-A5K4-01A-11R-A29S-07"	"TCGA-OR-A5K5-01A-11R-A29S-07"	"TCGA-OR-A5K6-01A-11R-A29S-07"	"TCGA-OR-A5K8-01A-11R-A29S-07"	"TCGA-OR-A5KO-01A-11R-A29S-07"	"TCGA-OR-A5KU-01A-11R-A29S-07"	"TCGA-OR-A5KW-01A-11R-A29S-07"	"TCGA-OR-A5KX-01A-11R-A29S-07"	"TCGA-OR-A5KY-01A-11R-A29S-07"	"TCGA-OR-A5KZ-01A-11R-A29S-07"	"TCGA-OR-A5LD-01A-11R-A29S-07"	"TCGA-OR-A5LG-01A-11R-A29S-07"	"TCGA-OR-A5LH-01A-11R-A29S-07"	"TCGA-OR-A5LJ-01A-11R-A29S-07"	"TCGA-OR-A5LK-01A-11R-A29S-07"	"TCGA-OR-A5LL-01A-11R-A29S-07"	"TCGA-OR-A5LN-01A-11R-A29S-07"	"TCGA-OR-A5LO-01A-11R-A29S-07"	"TCGA-OR-A5LP-01A-11R-A29S-07"	"TCGA-OR-A5LS-01A-11R-A29S-07"	"TCGA-OR-A5LT-01A-11R-A29S-07"	"TCGA-OU-A5PI-01A-12R-A29S-07"	"TCGA-PA-A5YG-01A-11R-A29S-07"	"TCGA-PK-A5H9-01A-11R-A29S-07"	"TCGA-PK-A5HA-01A-11R-A29S-07"
"PRKCD"	5132.7321	2352.2441	2684.7475	2404.3321	888.9349	2381.2215	1784.8837	455.4238	3514.0845	2220.4957	1241.7387	4145.379	6815.7086	4549.485	1730.9824	1298.0973	3299.1398	2600.2587	1303.7437	2298.576	4209.4902	2287.373	3624.1799	3133.6199	3643.0404	2337.9541	735.3625	1420	3731.3433	2963.0304	4556.8794	1979.8641	3069.4915	1645.581	4787.2832	631.4272	3184.9225	2636.6254	4399.6599	859.7491	2569.5793	1125.7088	2132.8556
"EIF4EBP1"	499.2617	612.0575	293.3998	316.085	1628.2636	321.2813	358.351	471.2341	236.6197	731.0396	466.185	258.567	41.2462	334.0797	170.6129	156.4482	377.6124	300.1294	425.8037	1748.2774	369.5103	278.6647	791.94	563.633	545.43	469.8853	494.0786	1599.3939	911.8046	379.479	192.1855	814.4979	371.1864	54.434	470.5202	94.1855	379.934	98.2551	236.3946	179.5895	242.7184	256.4774	656.5601
"IGFBP2"	116.3602	656.4953	8656.1313	5672.6835	3863.2408	217.5873	3736.7865	5480.0176	369.4836	425.4532	1078.2897	1377.9855	360.2457	705.3292	1156.0034	4933.4038	2138.9754	695.9897	4918.0328	1208.5439	486.1181	1214.8041	869.7282	11173.2386	707.9789	38628.1071	731.8207	10943.0303	3130.2578	3228.3017	2374.3009	1455.3234	559.322	789.5917	609.2486	740.0288	866.0909	668.8125	44.2177	207.5257	712.4364	662.3048	1537.4862
"RPS6KA1"	287.8807	1596.8005	690.188	761.3317	744.7161	2291.1268	610.9937	911.2868	291.5493	895.6715	143.0771	1329.6989	1172.4441	2435.7367	153.8203	1578.7526	435.5792	340.2329	252.1206	613.6886	876.8299	419.4485	515.4639	180.1532	656.1361	937.8585	485.6669	869.697	934.8711	474.1213	2389.5831	786.811	1067.7966	160.3111	714.4509	378.6641	508.1948	807.0473	420.068	439.5667	1351.8262	171.3339	329.6582
"MRE11A"	278.2176	216.2643	110.6536	475.3309	151.264	159.1107	218.2875	124.2863	276.5258	284.4987	252.9906	232.0872	219.3945	396.7756	319.7313	193.9746	211.1648	125.4851	329.4376	231.0519	109.5406	85.6313	298.5005	183.8909	220.8721	348.4704	204.5379	386.0606	213.0258	193.8346	206.5415	372.0111	135.5932	325.4075	164.1618	256.1269	303.242	243.9438	215.1361	181.87	318.5391	341.2719	185.7773
"FN1"	20085.6194	7744.6304	787.4291	4197.3526	211642.7683	13658.7057	8735.2008	14092.6658	2783.0986	4298.9271	18744.9959	10745.5867	7148.7495	5454.5455	28818.8077	1036.4693	4871.6967	4950.8409	894.748	5414.3316	4547.7032	3550.0726	12980.7873	10686.6006	7794.2487	1807.3614	12840.7305	35541.2121	2461.3297	3175.0654	2536.8481	2046.816	2830.5085	3691.9396	3324.8555	15549.2552	12979.9036	109.0971	3573.1293	4551.3113	6639.3897	4311.2623	4914.5535
"BCL2L11"	1137.4308	395.2007	1002.5889	290.012	854.5379	507.2505	589.3235	227.0531	545.0704	393.6367	215.0894	636.5524	591.0487	258.3968	562.8883	184.4609	422.3296	534.282	417.96	162.1497	403.8364	624.0929	364.5736	911.9791	654.516	387.6673	363.0327	331.5152	491.1805	331.2479	590.4493	309.0863	701.6949	524.6	152.6012	436.8092	381.2563	365.9156	409.0136	468.073	384.6509	288.9296	761.301
"ASNS"	1727.687	1073.0262	571.1515	657.4408	1394.5296	301.9024	799.1543	339.0426	496.2441	428.4129	869.3592	759.0862	807.8104	769.8164	415.7851	447.1459	833.0659	1248.3829	419.0805	1145.1539	1814.74	632.8012	1089.5033	858.1574	1410.5576	717.0172	772.5512	586.0606	200.8141	418.1549	1598.1495	2200.3524	1162.7119	935.5466	643.9306	1515.6175	1532.5181	621.379	284.8639	1340.935	860.8414	106.7783	577.1775
"SRC"	2505.9715	1255.5177	478.3813	403.1288	472.8554	2489.3352	187.6321	1341.6776	1587.3239	2803.9216	249.2005	709.7612	1451.075	301.8361	1507.9765	803.9112	1343.1739	155.2393	1032.0137	1377.1245	2230.1868	3262.6996	1177.1321	2358.4377	1150.8033	3273.4226	1238.7382	1524.2424	1145.1832	1809.123	1337.4256	2886.9872	1050.8475	1329.7443	2413.8728	1345.9875	1481.3901	1591.0554	2158.1633	3596.9213	1665.2797	2107.9997	834.0684
"AKT2"	3458.595	5737.8166	4249.5463	8417.9703	2319.1048	10540.7471	3913.3192	4862.9776	2228.169	2737.6989	1608.9068	2052.4403	3655.1119	3626.5114	1207.7246	2790.6977	1429.296	3247.0893	2555.3825	2720.7166	3501.7668	3301.8868	3766.6354	2598.3928	1885.7837	5576.9598	8128.3896	3241.8182	3226.5943	3107.2688	3157.3987	4791.845	2788.1356	1945.8651	2365.3179	5531.9558	3642.8708	4880.908	2662.415	4539.3387	3490.5224	4907.6158	2545.204
