"TCGA-OR-A5J2-01A-21-A39K-20"	"TCGA-OR-A5J3-01A-21-A39K-20"	"TCGA-OR-A5J6-01A-41-A39K-20"	"TCGA-OR-A5J7-01A-21-A39K-20"	"TCGA-OR-A5J8-01A-21-A39K-20"	"TCGA-OR-A5J9-01A-21-A39K-20"	"TCGA-OR-A5JA-01A-21-A39K-20"	"TCGA-OR-A5JP-01A-21-A39K-20"	"TCGA-OR-A5JR-01A-21-A39K-20"	"TCGA-OR-A5JS-01A-21-A39K-20"	"TCGA-OR-A5JT-01A-21-A39K-20"	"TCGA-OR-A5JV-01A-21-A39K-20"	"TCGA-OR-A5JW-01A-21-A39K-20"	"TCGA-OR-A5JY-01A-21-A39K-20"	"TCGA-OR-A5JZ-01A-21-A39K-20"	"TCGA-OR-A5K0-01A-21-A39K-20"	"TCGA-OR-A5K1-01A-21-A39K-20"	"TCGA-OR-A5K3-01A-21-A39K-20"	"TCGA-OR-A5K4-01A-21-A39K-20"	"TCGA-OR-A5K5-01A-21-A39K-20"	"TCGA-OR-A5K6-01A-21-A39K-20"	"TCGA-OR-A5K8-01A-21-A39K-20"	"TCGA-OR-A5KO-01A-21-A39K-20"	"TCGA-OR-A5KU-01A-21-A39K-20"	"TCGA-OR-A5KW-01A-21-A39K-20"	"TCGA-OR-A5KX-01A-21-A39K-20"	"TCGA-OR-A5KY-01A-21-A39K-20"	"TCGA-OR-A5KZ-01A-21-A39K-20"	"TCGA-OR-A5LD-01A-21-A39K-20"	"TCGA-OR-A5LG-01A-21-A39K-20"	"TCGA-OR-A5LH-01A-21-A39K-20"	"TCGA-OR-A5LJ-01A-21-A39K-20"	"TCGA-OR-A5LK-01A-21-A39K-20"	"TCGA-OR-A5LL-01A-21-A39K-20"	"TCGA-OR-A5LN-01A-21-A39K-20"	"TCGA-OR-A5LO-01A-21-A39K-20"	"TCGA-OR-A5LP-01A-21-A39K-20"	"TCGA-OR-A5LS-01A-21-A39K-20"	"TCGA-OR-A5LT-01A-21-A39K-20"	"TCGA-OU-A5PI-01A-21-A39K-20"	"TCGA-PA-A5YG-01A-21-A39K-20"	"TCGA-PK-A5H9-01A-21-A39K-20"	"TCGA-PK-A5HA-01A-21-A39K-20"
"FASN"	-0.13619156825	0.75633228425	-0.2351027895	0.98700445925	-0.76128611625	0.526708432	0.82799629675	2.15633684925	-0.3962958625	0.51370325375	-1.31938312625	-0.615222268	-0.0951680780000001	1.223517953	-1.3084121495	-0.498422331	-0.537596972	-0.0369327335	0.38624407225	1.7587846	2.52563080875	-0.32401473525	0.3110591925	-0.310633002	0.86735734	-0.62390934975	1.74331675925	0.91232361375	0.91966572	0.0548863652499998	0.2694135355	-0.399026639	-1.35278089975	-1.39649825425	-0.357118021	0.82670977725	-0.87555112	-0.319231977	-0.13991960625	-0.15546868	-1.017039106	-0.47130711775	-1.054955477
"INPP4B"	0.84367408825	-0.13917740825	0.608709061	-0.08930137425	-0.30752277275	0.1410453405	-0.12736347175	0.0773949477500001	0.090798753	-0.10721427675	0.23618979525	0.8491463675	-0.2377746205	-0.0236273055	-0.0177612019999999	0.3168325845	0.00163621649999995	0.150320659	0.65203437675	-0.1516995145	-0.0627048367500002	-0.10552811175	-0.295076375	0.2239446805	-0.2194334845	-0.0713704002499998	-0.17856430625	-0.32229367175	-0.1954345965	0.0454885327499999	0.06188184	-0.0735704085	0.04290373375	-0.29845248575	-0.00389149249999998	0.12093867175	0.5175210995	0.00346141150000007	-0.21970669675	0.1450789245	0.6597775455	0.15035713175	0.0488330745
"PCNA"	-0.19726789175	-0.0572201852500001	0.112421289	-0.11074642725	-0.28770718875	-0.1801528515	0.0818698732499999	-0.0713246892499999	-0.102410494	0.34358500625	-0.19099042775	0.2013094465	-0.1325633015	0.0826780164999998	0.0108711329999999	-0.0973910285000001	-0.0805196915000002	0.160699758	0.28441099475	-0.2536904375	-0.11781399375	0.10113445625	0.0578766070000001	-0.2128153465	-0.0352000865000001	-0.23327953225	0.0348286737499999	0.69836133625	0.1911424065	-0.0136076532500002	0.023448442	0.0737151745	-0.18935610925	-0.21217376475	-0.0866788475000001	0.0485857347499999	0.1512038595	0.1034278035	-0.11869267175	0.1154895135	0.0824299915000001	-0.36310377025	-0.0707828885000001
"ACVRL1"	0.18687454775	0.22290460525	0.2753073025	0.08725329225	0.37562443575	0.064429664	0.07757944875	-0.09799820875	0.0836383065	0.37759598275	0.32224043375	0.431966448	-0.191572841	0.176143008	0.2133810425	0.474304459	0.00809766499999992	0.1041084255	0.29069543225	0.205933428	0.12225170775	-0.0664975732500001	-0.3314050625	0.469544914	0.015061095	0.28917619325	0.08006160225	0.13710647675	0.257075587	0.12923486225	0.1634184325	-0.050992358	0.14148025325	0.0400904147499997	0.253291843	0.17707196025	0.162011246	0.045853877	-0.03461862325	0.129928232	0.00246740300000015	0.12149137125	0.112186833
"TSC1"	0.40450229975	-0.42915116175	-0.5494478575	0.28866063725	0.57764351775	0.316931191	-0.0152737242499999	0.19218423825	-0.5935909225	-0.03537379325	-0.42190415825	0.0900311690000002	-0.431861126	0.177517584	-0.5088311835	0.756581178	-0.480358317	-0.1472660835	0.0258630552500001	0.425290166	0.36653461775	-0.21801163225	0.2878439495	-0.5068798	-0.297580667	-0.22226282875	0.01624203925	0.49652371175	0.675490977	0.0390650692500001	-0.6548030945	0.232869911	-0.50194374975	0.34166367275	-0.082665408	-0.16682680975	-0.375175126	-0.049447816	-0.13130810925	0.25462114	-0.793706899	0.37794525925	-0.240506966
"PDCD4"	-0.60591832175	0.48133394675	-0.274773466	-0.31518684025	0.37290643625	0.1578058195	1.05241133625	-0.83692081525	-0.350215309	0.08410506425	-0.34398306875	-0.3855467355	0.1046181065	-0.7921358305	-0.0840464699999999	0.1955406655	0.7394824095	-0.632084169	-0.69242430825	-0.7209434955	0.86279857825	1.19729793925	1.472704988	-0.6351990445	1.0167378655	-0.79406594025	0.21758662175	-0.92446154275	-0.1191971405	1.60508033175	0.343320408	0.1353192505	0.49520466475	0.69251088025	-0.6386517605	-0.72472341625	-0.9702637605	-1.1716716015	-0.35515012175	0.6909500405	-0.3973605935	0.41097306475	0.1007678375
"TTF1"	-0.0167088242500001	-0.16055209275	0.2245325545	-0.00944278675000002	-0.77950620225	-0.154066993	-0.25491263825	-0.17229390675	0.4298052165	0.41606681675	-0.24186704425	0.14918853	1.277391792	0.456410956	-0.1664211885	0.374284762	0.254376729	-0.0780127275	0.14275277025	0.084208802	-0.0154437702500002	0.15968636775	0.2683006615	-0.133104388	-0.208596653	-0.24117519375	-0.20450166975	0.07023696275	-0.048859672	0.11870979325	0.3118687965	0.531705271	0.11393130925	0.0653018407499997	1.036895721	-0.0369330597500001	0.651839501	-0.19282014	-0.10982594625	-0.088322814	0.719581109	-0.35186405675	-0.185829688
"CDK1"	0.17297226925	-0.12686222225	0.779431138	0.18570471775	-0.0881916147499999	-0.0777861615000001	-0.0134817357499999	0.11281039375	0.022934046	-0.27042248575	0.11255360625	0.4028876545	-0.1828055085	0.0507518835	0.057362324	-0.0310710255000001	0.0044312454999999	0.147941952	-0.10341632525	-0.3216214885	-0.12405053375	0.0691512652499999	0.235966136	-0.0694571344999998	-0.1147514665	-0.0523532042499998	0.01714828575	0.03652225125	0.3762516685	0.16259682475	0.129184493	0.1181520985	-0.05578836825	-0.26078695275	-0.0369589825000001	0.0120445037499999	0.4513150575	0.1100103625	-0.21824218875	-0.1935618385	0.5598851615	0.18216518475	0.00654874750000006
"XRCC1"	-0.00490401375000005	-0.14199912425	0.185690778	-0.13911509925	-0.30365095675	0.1489983585	-0.01066221475	-0.0936991382499999	-0.044648054	-0.11558092075	-0.11646103575	0.0886395065000001	-0.1848170865	0.0538688415	-0.095110411	0.0549445875	-0.1085194145	-0.0342580809999999	-0.03536170025	-0.1105923445	-0.0772451507500002	0.02477717625	-0.0717719539999998	-0.0979995104999999	-0.0887238255	0.0517985157500002	0.00459993074999998	0.31119841725	0.1123723985	-0.08442983225	0.019368599	0.0219913615000001	-0.0272646492499999	-0.0359942217500002	-0.0252447445	-0.00961790325000003	0.0556754285000001	0.0488141555000001	-0.14079727575	-0.0017230835	0.0519853905000002	-0.16311621725	-0.0370280375
"IRS1"	-0.0103319227500001	0.28355693875	-0.229426527	0.36024530075	0.0416706862499999	-0.1157266255	-0.37375718675	-0.39867633125	-0.0969817340000001	0.52505046225	-0.04752176275	-0.1136659445	0.2363169195	-0.1187193945	-0.293933492	-0.1831288335	-0.2767870385	0.13883207	-0.14068370125	-0.2503632845	0.0958735202499998	-0.18799725275	0.294007856	0.0629897865	-0.2723256725	-0.30972811325	-0.05342446225	0.02791919925	-0.1481381115	0.0450632177499999	-0.137525425	0.4362322965	-0.13662546525	0.78090737225	-0.0947713475	0.0444504147499999	0.0708258565	-0.0129126355	0.0572317012500001	0.0206225725	0.00454647350000026	-0.10008816025	-0.1461884635
"VHL"	0.31770047275	-0.23716901775	1.0894409145	-0.17656611175	-1.22175896125	-0.245614079	0.52990333775	0.17385212225	0.3359387195	-0.24496147625	0.18916901175	0.278464677	0.037480785	0.0552969480000003	0.2619178815	-0.287505981	0.27669171	0.3697065255	-0.10481358475	-0.606312181	-0.25885845325	0.22473130475	0.2623965505	-0.319759167	-0.259953308	0.0127478642500004	-0.14498611475	0.57690785975	-0.0481707039999998	0.60502196525	0.4209550395	-0.098259254	0.12277985725	-0.24289368325	0.20256308	-0.000550183749999961	0.860080833	0.216646998	-0.11624006025	-0.289554546	1.079223846	0.30121342325	0.237285738
"AR"	-0.0259171877500001	0.54149621475	-0.389174552	-0.21074869825	0.28942493625	-0.0337769925	-0.14237322375	-0.25659774625	0.519824372	0.11721016225	0.26915950725	-0.2413587635	0.0845856935	-0.2779681915	0.177656462	-0.0377590365	-0.00974936050000003	-0.139295339	0.37103087375	-0.1239470295	-0.12826152575	0.20343718225	0.67539999	0.0794965835	-0.1619122825	-0.17584206425	-0.00893755624999998	0.09558094725	0.0817276395	-0.32190907325	-0.149725122	0.0286362595	0.43171723975	-0.41662735675	-0.0781739215	-0.17401050725	0.0252071945	-0.1035733305	1.03823272425	0.1732949075	-0.0465193044999997	-0.31967652525	-0.1696629095
"PRDX1"	0.23524062075	-0.19458633975	0.6338222575	-0.0177022067500002	-0.62666301425	0.152844345	-0.13726376525	-0.00313569375	0.2957325355	0.21774644675	0.21282433575	0.581126249	-0.0356887900000003	-0.0383105180000001	-0.0248812925000003	-0.00670026100000015	0.0439487289999999	0.3045269175	0.40197587225	-0.609581663	-0.33887119525	-0.0727528072500003	-0.4837070815	-0.267201039	-0.15963425	-0.0745755137500001	-0.19223132075	-0.52827519425	-0.201541728	0.13811787725	0.3078236925	-0.119263781	0.10878304825	-0.20336488625	0.0865341249999998	-0.10093809475	0.555379384	0.122399852	-0.00122634525000009	-0.229278083	0.605325101	-0.13715436375	0.0934894299999999
"XBP1"	0.19894374875	-0.26577117175	0.5927447125	-0.0976390127499998	-0.66252006325	0.120190381	-0.19154360525	0.0906692442500001	0.2462741715	-0.21333498425	-0.0454860982499998	0.202713894	-0.0910223109999999	-0.171417201	0.1140674665	-0.233807019	0.0804131059999999	0.1517089555	0.20586687725	-0.0455836159999999	-0.16457599825	-0.0182071302500001	-0.3017056645	0.0869374420000001	-0.22830998	0.14953902625	-0.13531029175	-0.36312113425	0.27817036	0.09974037725	0.3211574315	0.0241764420000001	0.05836996725	-0.33189557825	0.204402598	-0.0134831177499999	0.33278457	-0.031147596	0.00356638475000015	-0.065216361	0.50109535	-0.05436274975	-0.048355212
"GAPDH"	-0.25812799525	1.69420505625	-1.2678538305	0.67804511625	-1.12604907925	-0.616101453	1.46894819875	-0.30474479175	-0.1277135545	1.33967003975	-1.09906806225	0.0196508010000001	0.704038795	-0.0233136230000001	0.9717090435	0.383755726	-0.040061249	0.6726921085	1.39772366525	0.369612342	0.18181852875	0.44388979775	-0.6351489975	0.670658007	1.562467265	-0.79304674075	3.41860764525	-0.53656740325	-0.483122828	-0.82481468375	-0.3857034395	0.761126571	-0.97664280875	-0.28724765625	-0.516401852	0.64942406725	-0.210588409	0.360147998	1.63846393175	-0.376651159	-0.972354241	-1.42957537575	-0.582879474
"MSH6"	0.32338698425	0.13520266675	-0.171923146	0.66215445775	0.10142836125	0.1759573055	0.36767899625	0.44394701375	-0.24452679	0.41186999325	-0.67857928175	-0.4840956755	-0.3168349265	0.7019222665	-0.18126242	1.0918515675	0.0518089554999999	-0.00763911399999992	-1.16197044925	0.8437790555	0.16765285625	-0.0267119517500001	1.101585242	-0.5210437175	0.2561985625	-0.18049806525	0.52361966575	1.73889311525	0.5872702685	-0.38541432325	-0.15883487	-1.0345657685	-0.60662584525	-0.47846532975	-0.4045514295	0.96455111575	-0.3299189175	-0.0363709715	-0.20876603375	0.0411065114999999	-0.4331783595	-0.19859959425	-0.4639803315
"MYH11"	2.37271067525	-1.07526395625	1.116526493	0.46193463375	-1.46541465175	1.0935064355	1.25855520225	0.15437883675	-0.708967526	-0.65764767475	0.18326306925	-0.4156505455	0.1076596725	-0.5392131785	-0.86475467	-0.1884812335	0.2892461345	0.082255963	-0.88903823225	-0.6889832675	0.64547937625	-0.0720257937500002	-0.172396558	-0.0777988325	-0.8799787965	0.29059695175	-1.25592099925	-0.99605605875	0.1194840305	0.82231054875	-0.588004722	1.8653454395	1.32885252075	-1.20010299075	-0.1928320355	0.69352844375	1.2771136475	-0.7664218985	-0.47843189375	0.7151735675	1.0152670065	1.10449072875	-0.3400215585
"NF2"	-0.14700297475	0.0166519157500001	-0.241471105	-0.41359975725	-0.12164840075	-0.2783958555	-0.08378975475	-0.0362249622499999	-0.346506475	0.16570939625	-0.23074068875	-0.2655895015	0.0616860115	-0.5806838395	-0.312734796	0.5471356895	0.0537696814999999	0.0320048750000001	-0.04687301125	-0.2632067675	0.40426902325	0.0725111882499999	-0.197009559	-0.1563951685	-0.1396774315	-0.0777328532499998	-0.02538746925	0.10279696725	0.4588549555	-0.0698060152500001	0.121812226	0.4298762575	0.34247621975	0.40064153325	0.1556691775	0.10916941375	-0.0206235015	-0.0991566815	0.0304841832500001	0.0386848425	-0.0256759424999998	0.38426863575	-0.1009092985
"PDK1"	-0.0154797132500001	0.20223203225	-0.3930370435	-0.51012869975	-0.38276975225	-0.109047481	-0.12958786725	0.14487294625	0.1971813405	0.0261724127499998	-0.16245984525	0.0452064120000001	0.0957812019999999	-0.20212894	0.0824755575	-0.014952172	0.14224308	0.2214927965	0.38457457725	-0.019089998	0.0374404407499997	0.22547042375	0.3112519715	-0.147185438	0.206132387	0.0559055822500001	0.17168625125	0.14228334875	-0.0774967800000001	-0.21379831875	0.0686126174999999	-0.254515219	-0.28521144375	0.29612438175	-0.136209671	-0.0808066107500001	0.123202909	-0.066247785	-0.05640487925	-0.080889937	-0.231215666	-0.15532338175	0.082288086
"ERCC1"	-0.18330604075	0.54417100875	-0.402362691	-0.11422812525	-0.61946658675	0.3181270975	0.17044210925	-0.35143976925	-0.00449604900000006	0.0140394802499999	-0.45201318875	-0.2044147255	0.2730256565	-0.6086761505	-0.118063518	-0.0475966655	-0.0102071095	-0.0767128419999999	0.0631232067499999	0.2401562445	-0.0656615787500002	0.23162709525	0.519593538	-0.7065923295	0.4778825095	0.16068992575	0.09573930675	-0.06826609175	-0.2141452765	-0.16123051225	-0.5889971	-0.9643050435	-0.50529996825	0.54009967525	-0.3018866105	-0.17655525925	-0.0594694575000001	0.2826945115	0.33904092125	0.1343456925	-0.0159389364999999	-0.27737130725	-0.3181603955
"TFRC"	-0.73933556125	-0.35758125775	-0.6210910185	0.61219590425	0.54430158775	-1.518039372	1.23691529675	0.0842691242500002	-0.000712829500000123	1.35282623175	-1.01358537325	0.640663489	-0.368670946	2.379667565	-0.5400770165	-0.441105922	-0.464932062	-0.7250117245	0.91828452525	1.614978018	-0.55187956525	-0.31797080325	1.7528835645	-0.75530114	0.703471315	-1.12202462175	1.80292124125	1.51634873475	0.100736674	1.25512926825	-1.1714608085	2.926335559	-0.51223416375	0.91970553975	0.51034089	-0.0475733977499999	-0.422008249	-0.984166032	-0.90097138625	-0.256322775	-0.841716566	0.69351677025	-0.877879002
"MSH2"	0.0857035527499999	0.13323274525	0.1573648655	0.21013309525	-0.0608241602500001	0.191204554	0.13658968575	0.14297191525	-0.1470754235	-0.13685889725	-0.37274133525	-0.141935746	-0.315960815	0.119289533	-0.1451686815	0.468609548	0.0428470819999998	0.0153939865	-0.40760978075	0.136753981	0.0216053807499997	0.0299969717499998	0.6761439235	-0.470431869	0.152777753	-0.0266438997499999	0.20518319225	0.99401978175	0.5322895	-0.24982118775	-0.0401176465	-1.104628958	-0.44713506375	-0.40960575125	-0.172710016	0.56261257325	0.0257487709999999	0.0342539379999998	-0.21960562925	-0.153269217	0.130438268	-0.24622738875	-0.355076487
"PREX1"	-0.45506074225	-0.36291160575	0.7185509115	-0.10146679275	0.0540158817499999	-0.262630928	0.13824730775	-0.39798155175	0.2124530475	-0.75539799625	0.0259535337499999	0.521135361	-0.079653068	-0.32949837	0.2453864675	-0.155114337	0.424045059	0.2484698835	-0.0715228257500001	-0.0506636599999999	0.17059840175	0.49492764275	-0.4143478965	-0.618812096	0.210487301	1.12681465725	-0.43721869375	-0.42567507825	0.350713238	0.00890018424999994	0.1362119335	-0.077969459	0.19211846025	-0.41644831225	0.423131393	0.0986930002499999	0.534481125	-0.309341401	0.57362776675	0.0767038150000001	0.162954119	0.23939292325	0.067629004
