"TCGA-OR-A5J2-01A-11D-A29H-01"	"TCGA-OR-A5J3-01A-11D-A29H-01"	"TCGA-OR-A5J6-01A-31D-A29H-01"	"TCGA-OR-A5J7-01A-11D-A29H-01"	"TCGA-OR-A5J8-01A-11D-A29H-01"	"TCGA-OR-A5J9-01A-11D-A29H-01"	"TCGA-OR-A5JA-01A-11D-A29H-01"	"TCGA-OR-A5JP-01A-11D-A29H-01"	"TCGA-OR-A5JR-01A-11D-A29H-01"	"TCGA-OR-A5JS-01A-11D-A29H-01"	"TCGA-OR-A5JT-01A-11D-A29H-01"	"TCGA-OR-A5JV-01A-11D-A29H-01"	"TCGA-OR-A5JW-01A-11D-A29H-01"	"TCGA-OR-A5JY-01A-31D-A29H-01"	"TCGA-OR-A5JZ-01A-11D-A29H-01"	"TCGA-OR-A5K0-01A-11D-A29H-01"	"TCGA-OR-A5K1-01A-11D-A29H-01"	"TCGA-OR-A5K3-01A-11D-A29H-01"	"TCGA-OR-A5K4-01A-11D-A29H-01"	"TCGA-OR-A5K5-01A-11D-A29H-01"	"TCGA-OR-A5K6-01A-11D-A29H-01"	"TCGA-OR-A5K8-01A-11D-A29H-01"	"TCGA-OR-A5KO-01A-11D-A29H-01"	"TCGA-OR-A5KU-01A-11D-A29H-01"	"TCGA-OR-A5KW-01A-11D-A29H-01"	"TCGA-OR-A5KX-01A-11D-A29H-01"	"TCGA-OR-A5KY-01A-11D-A29H-01"	"TCGA-OR-A5KZ-01A-11D-A29H-01"	"TCGA-OR-A5LD-01A-11D-A29H-01"	"TCGA-OR-A5LG-01A-11D-A29H-01"	"TCGA-OR-A5LH-01A-11D-A29H-01"	"TCGA-OR-A5LJ-01A-11D-A29H-01"	"TCGA-OR-A5LK-01A-11D-A29H-01"	"TCGA-OR-A5LL-01A-11D-A29H-01"	"TCGA-OR-A5LN-01A-11D-A29H-01"	"TCGA-OR-A5LO-01A-11D-A29H-01"	"TCGA-OR-A5LP-01A-11D-A29H-01"	"TCGA-OR-A5LS-01A-11D-A29H-01"	"TCGA-OR-A5LT-01A-11D-A29H-01"	"TCGA-OU-A5PI-01A-12D-A29H-01"	"TCGA-PA-A5YG-01A-11D-A29H-01"	"TCGA-PK-A5H9-01A-11D-A29H-01"	"TCGA-PK-A5HA-01A-11D-A29H-01"
"EEF2"	0	1	1	1	-1	1	1	1	1	0	0	-1	0	0	0	1	0	1	0	1	0	1	1	1	1	0	1	1	1	0	1	0	1	1	1	1	1	1	1	-1	1	0	0
"MTOR"	-2	0	0	-1	0	0	0	-1	0	-1	0	-1	-1	-1	0	0	0	0	0	-1	-1	0	0	0	0	-1	0	-1	0	-1	0	0	0	-1	-1	0	0	-1	-1	-1	0	0	-1
"SERPINE1"	1	1	1	1	1	1	1	0	1	0	1	1	0	1	0	0	1	1	0	-1	2	1	1	1	1	0	1	1	0	0	1	1	1	0	1	1	1	1	-1	1	1	0	0
"YWHAE"	0	0	0	-1	1	0	-1	-1	0	-1	0	-1	-1	-1	0	-1	0	0	0	-1	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	-2	-1	1	-1	0	0	-1
"MAPK3"	0	1	0	-1	0	1	1	0	1	0	1	1	0	-1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0	0	0	1	0	1	1	1	1	1	1	0	0
"INPP4B"	0	0	0	-1	0	1	1	0	1	-1	1	1	0	-1	0	0	0	0	1	0	0	1	1	1	0	0	0	1	0	0	1	0	1	1	1	1	0	-1	1	1	0	0	-1
"PCNA"	-1	0	1	-1	0	1	-1	0	1	-1	1	1	0	0	1	-1	1	1	1	0	0	1	0	1	0	1	1	1	0	0	0	1	1	0	1	0	1	1	1	2	1	0	0
"ACVRL1"	1	1	1	1	1	1	2	1	1	0	1	1	0	2	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	0	1	1	1	-1	1	1	1	1	1	1	1	0	0
"TSC1"	0	0	0	1	1	1	1	1	0	0	0	1	0	-1	0	0	0	0	0	0	0	1	1	0	0	1	1	1	0	0	0	1	0	1	0	0	0	1	1	1	0	0	1
"CHEK2"	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	0	0	0	0	0	-1	0	0	0	0	0	-1	-1	-1	0	-1	1	0	0	-1	-1	0	0	-1	-1	-1	0	-1	-1
"BAK1"	0	0	1	1	0	0	1	-1	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	-1	1	0	0	-1	-1	-1	0	0	0
"SMAD4"	0	0	-1	-1	0	0	0	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	-2	0	0	0	-1	0	1	-1	0	0	0	-1	-1	0	0	-1	-1	-2	0	0	-1
"TSC2"	0	1	-1	-1	0	1	1	0	1	0	1	1	0	-1	1	-1	1	1	1	1	0	1	2	1	1	0	1	1	1	-1	0	0	0	1	0	0	1	1	1	1	1	0	0
"CTNNB1"	1	0	0	-1	0	0	-1	-1	1	0	0	1	-1	-1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	0	0	0	-1	1	-1	0	0	0
"LCN2"	0	0	0	1	1	1	1	1	0	0	0	1	0	-1	0	0	0	0	0	1	0	1	1	0	0	0	1	1	0	0	0	1	0	1	0	0	0	1	1	1	0	0	0
"YBX1"	0	0	0	-1	0	0	0	0	0	-1	0	-1	-1	-1	0	-1	0	0	0	-1	-1	0	0	0	0	-1	0	-1	0	-1	0	0	0	-1	-1	0	0	-1	0	-1	0	0	-1
"RPS6"	0	0	0	-1	-1	-1	1	-1	0	-1	-1	-1	0	-1	0	-1	0	0	0	-1	-1	1	1	0	0	0	1	-1	0	-1	0	1	0	1	0	0	0	1	1	1	0	0	0
"NFE2L2"	0	0	1	1	0	0	-1	1	0	-1	0	-1	-1	-1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	-1	0	0	-1	0	-1	0	0	-1
"MAPT"	0	0	0	-1	1	0	-1	-1	0	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	-1	-1	0	0	0	0	0	0	0	-1	1	-1	0	0	-1
"CDH3"	0	1	0	-1	0	1	1	0	1	0	1	1	0	-1	1	-1	1	1	1	0	0	1	1	1	1	0	1	1	2	2	0	0	0	1	0	1	1	1	1	1	1	0	0
