"TCGA-OR-A5J2-01A-11D-A29H-01"	"TCGA-OR-A5J3-01A-11D-A29H-01"	"TCGA-OR-A5J6-01A-31D-A29H-01"	"TCGA-OR-A5J7-01A-11D-A29H-01"	"TCGA-OR-A5J8-01A-11D-A29H-01"	"TCGA-OR-A5J9-01A-11D-A29H-01"	"TCGA-OR-A5JA-01A-11D-A29H-01"	"TCGA-OR-A5JP-01A-11D-A29H-01"	"TCGA-OR-A5JR-01A-11D-A29H-01"	"TCGA-OR-A5JS-01A-11D-A29H-01"	"TCGA-OR-A5JT-01A-11D-A29H-01"	"TCGA-OR-A5JV-01A-11D-A29H-01"	"TCGA-OR-A5JW-01A-11D-A29H-01"	"TCGA-OR-A5JY-01A-31D-A29H-01"	"TCGA-OR-A5JZ-01A-11D-A29H-01"	"TCGA-OR-A5K0-01A-11D-A29H-01"	"TCGA-OR-A5K1-01A-11D-A29H-01"	"TCGA-OR-A5K3-01A-11D-A29H-01"	"TCGA-OR-A5K4-01A-11D-A29H-01"	"TCGA-OR-A5K5-01A-11D-A29H-01"	"TCGA-OR-A5K6-01A-11D-A29H-01"	"TCGA-OR-A5K8-01A-11D-A29H-01"	"TCGA-OR-A5KO-01A-11D-A29H-01"	"TCGA-OR-A5KU-01A-11D-A29H-01"	"TCGA-OR-A5KW-01A-11D-A29H-01"	"TCGA-OR-A5KX-01A-11D-A29H-01"	"TCGA-OR-A5KY-01A-11D-A29H-01"	"TCGA-OR-A5KZ-01A-11D-A29H-01"	"TCGA-OR-A5LD-01A-11D-A29H-01"	"TCGA-OR-A5LG-01A-11D-A29H-01"	"TCGA-OR-A5LH-01A-11D-A29H-01"	"TCGA-OR-A5LJ-01A-11D-A29H-01"	"TCGA-OR-A5LK-01A-11D-A29H-01"	"TCGA-OR-A5LL-01A-11D-A29H-01"	"TCGA-OR-A5LN-01A-11D-A29H-01"	"TCGA-OR-A5LO-01A-11D-A29H-01"	"TCGA-OR-A5LP-01A-11D-A29H-01"	"TCGA-OR-A5LS-01A-11D-A29H-01"	"TCGA-OR-A5LT-01A-11D-A29H-01"	"TCGA-OU-A5PI-01A-12D-A29H-01"	"TCGA-PA-A5YG-01A-11D-A29H-01"	"TCGA-PK-A5H9-01A-11D-A29H-01"	"TCGA-PK-A5HA-01A-11D-A29H-01"
"AKT3"	1	0	0	1	0	0	-1	1	0	0	0	1	-1	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	-1	0	0	0
"AKT1"	0	1	-1	-1	0	0	1	1	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	1	0	2	1	0	-1	0	0	0	0	0	1	-1	1	0	1	-1	1	0	0	-1
"CDH2"	0	0	-1	-1	0	0	0	-1	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	0	1	2	0	0	0	1	-1	0	0	-1	-1	-1	0	0	-1
"RAD51"	0	0	0	-1	0	0	1	-1	0	0	0	-1	0	0	0	0	0	0	0	-1	0	0	0	1	1	-1	0	0	-1	0	0	0	0	1	0	1	0	-1	-1	-1	0	0	-1
"MET"	1	1	1	1	1	1	1	0	1	0	1	1	0	1	0	0	1	1	0	-1	-1	1	1	1	1	0	1	1	-1	0	1	1	1	0	1	1	1	1	-1	1	1	0	0
"NRAS"	0	0	0	-1	0	0	0	0	0	-1	0	-1	-1	0	0	-1	0	0	0	-1	0	0	0	0	0	-1	0	0	0	-1	0	0	0	-1	-1	0	0	-1	0	-1	0	0	-1
"TP53"	0	0	0	-1	1	0	-1	-1	0	0	0	-1	-1	-1	0	0	0	0	0	-1	0	0	0	0	0	-1	1	-1	0	0	0	0	0	-1	0	1	0	-1	1	-1	0	0	-1
"CLDN7"	0	0	0	-1	1	0	-1	-1	0	0	0	-1	-1	-1	0	0	0	0	0	-1	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	-1	0	0	0	-1	1	-1	0	0	-1
"IGF1R"	0	0	0	-1	0	0	1	0	0	2	0	-1	0	1	0	0	0	0	0	0	0	0	0	1	1	-1	0	0	-1	0	0	0	0	1	0	0	0	-1	-1	-1	0	0	-1
"RBM15"	0	0	0	-1	0	0	0	0	0	-1	0	-1	-1	0	0	-1	0	0	0	-1	0	0	0	0	0	-1	0	0	0	-1	0	0	0	-1	-1	-2	0	-1	0	-1	0	0	-1
"BECN1"	0	0	0	-1	1	0	-1	-1	0	-1	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	-2	0	-1	-1	0	0	0	0	0	-2	0	-1	1	-1	0	0	-1
"RB1"	1	0	0	-1	0	0	-1	-1	0	-1	0	-1	-1	-1	0	-1	0	0	0	-2	0	1	-2	-1	1	0	0	-1	-1	0	0	0	-1	-1	-1	0	0	-1	0	-1	0	0	-1
"ESR1"	0	0	2	-1	1	0	1	1	0	-1	0	-1	0	-1	0	0	0	0	-2	0	0	1	-1	0	0	0	0	1	0	-1	0	0	1	-1	1	0	0	-1	0	-1	0	0	1
"PTEN"	1	0	0	1	0	1	-1	1	0	-1	0	-1	0	-1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	1	1	1	0	0	0
"SRSF1"	0	0	0	-1	1	0	-1	1	0	-1	0	-1	-1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	-1	0	0	0	0	0	0	0	-1	1	-1	0	0	-1
"PIK3CA"	1	0	-1	1	-1	0	-1	-1	1	0	0	0	-1	0	0	-1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	-1	0	0	0	1	1	1	1	0	0
"CDKN1A"	0	0	1	1	0	0	1	-1	0	0	0	-1	0	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	-1	1	0	0	-1	-1	-1	0	0	0
"GATA3"	1	0	0	1	0	1	-1	0	0	-1	0	-1	0	-1	0	0	0	0	0	0	0	1	2	0	0	0	1	0	1	0	0	1	0	0	0	1	0	1	1	1	0	0	0
"PEA15"	1	0	0	1	0	0	0	0	0	0	0	1	-1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	-1	0	-1	0	0	0
"SMAD3"	0	0	0	-1	0	0	1	-1	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	1	1	-1	0	0	-1	0	0	0	0	1	0	1	0	-1	-1	-1	0	0	-1
"RAF1"	1	0	0	-1	0	0	-1	-1	1	0	0	1	-1	0	0	0	0	0	0	1	0	0	-1	0	0	0	0	0	0	0	0	1	1	-1	0	0	0	-1	1	-1	0	0	0
"EIF4G1"	1	0	-1	1	-1	0	-1	-1	1	0	0	0	-1	0	0	-1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	-1	0	0	0	1	1	1	1	0	0
"AXL"	1	1	1	1	0	1	1	1	1	0	0	1	0	0	0	0	0	1	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	-1	0	1	1	1	1	1	1	0	0
"ATM"	0	0	0	1	-1	-1	-1	-1	0	-1	0	-1	-1	0	0	-1	0	0	0	1	-1	0	0	0	0	0	0	0	1	0	0	0	0	0	-1	0	0	-1	0	-1	0	0	-1
"MAPK1"	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	2	0	0	0	0	0	-1	0	0	0	0	0	-1	-1	-1	0	-1	1	0	0	-1	-1	0	0	-1	-1	-1	0	-1	-1
"TP53BP1"	0	0	0	-1	0	0	1	-1	0	0	0	-1	0	0	0	0	0	0	0	-1	0	0	0	1	1	-1	0	0	-1	0	0	0	0	1	0	1	0	-1	-1	-1	0	0	-1
"NEK7"	1	0	0	1	0	0	0	1	0	0	0	1	-1	1	0	-1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	-1	0	0	0
"BIRC2"	0	0	0	1	-1	-1	-1	-1	0	-1	0	-1	-1	0	0	0	0	0	0	1	-1	0	0	0	0	0	0	0	1	0	0	0	0	0	-1	0	0	-1	0	-1	0	0	-1
"NOTCH1"	0	0	0	1	1	1	1	-1	0	0	0	1	0	-1	0	0	0	0	0	0	0	1	1	0	0	1	1	1	0	0	0	1	0	1	0	1	0	1	1	1	0	0	1
"MAPK9"	0	1	1	1	-1	1	-1	0	1	2	1	1	1	0	1	0	1	1	2	1	0	1	1	1	1	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1
"YWHAZ"	0	0	1	-1	0	1	-1	1	1	0	1	1	-1	0	1	0	1	0	1	1	-1	0	1	1	1	0	0	1	1	0	0	1	0	0	1	0	0	-1	0	-1	0	0	0
"VASP"	1	1	1	1	0	1	1	1	1	0	0	1	0	0	0	0	0	1	0	1	0	1	1	1	1	1	2	1	1	0	1	1	1	-1	0	1	1	1	1	1	1	0	0
"XRCC5"	0	0	1	1	0	0	-1	1	0	-1	0	-1	-1	1	0	-1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	-1	0	0	-1	0	-1	0	0	-1
"ITGA2"	-1	1	1	1	0	1	1	0	1	2	1	1	1	2	1	0	1	1	1	1	0	1	1	1	1	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0
"CASP7"	1	0	0	1	0	1	-1	1	0	-1	0	-1	0	-1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	1	0	0	0	1	0	1	1	1	0	0	0
"BAP1"	1	0	0	1	0	0	-1	-1	1	0	0	1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	0	1	0	-1	1	-1	0	0	0
"STK11"	0	1	1	1	-1	1	1	1	1	0	0	-1	0	0	0	1	1	1	0	1	0	1	1	1	1	1	1	1	0	0	1	0	1	1	1	2	1	1	1	-1	1	0	0
"ADAR"	1	0	0	1	0	0	0	0	0	0	0	1	-1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	-1	0	-1	0	0	0
"BRCA2"	1	0	0	-1	0	0	-1	-1	0	-1	0	-1	-1	-1	0	-1	0	0	0	-1	0	1	0	-1	1	0	0	-1	-1	0	0	0	-1	-1	-1	0	0	-1	0	-1	0	0	-1
"EGFR"	1	1	1	1	1	0	1	0	1	0	1	1	0	1	0	0	1	1	0	1	0	1	1	1	1	0	1	1	-1	0	1	1	1	0	1	2	1	1	-1	1	1	0	0
"CCNE1"	1	1	1	1	0	1	1	1	1	0	0	1	0	0	0	0	0	1	0	1	0	1	1	1	0	1	2	1	1	0	1	1	1	1	0	1	1	1	1	1	1	0	0
"FASN"	0	0	0	-1	1	0	-1	1	0	-1	0	-1	-1	1	0	0	0	0	0	0	2	0	0	1	0	0	-1	0	1	-1	0	0	0	0	0	1	0	-1	1	-1	0	0	2
