"TCGA-OR-A5J2-01A-11R-A29W-13"	"TCGA-OR-A5J3-01A-11R-A29W-13"	"TCGA-OR-A5J6-01A-31R-A29W-13"	"TCGA-OR-A5J7-01A-11R-A29W-13"	"TCGA-OR-A5J8-01A-11R-A29W-13"	"TCGA-OR-A5J9-01A-11R-A29W-13"	"TCGA-OR-A5JA-01A-11R-A29W-13"	"TCGA-OR-A5JP-01A-11R-A29W-13"	"TCGA-OR-A5JR-01A-11R-A29W-13"	"TCGA-OR-A5JS-01A-11R-A29W-13"	"TCGA-OR-A5JT-01A-11R-A29W-13"	"TCGA-OR-A5JV-01A-11R-A29W-13"	"TCGA-OR-A5JW-01A-11R-A29W-13"	"TCGA-OR-A5JY-01A-31R-A29W-13"	"TCGA-OR-A5JZ-01A-11R-A29W-13"	"TCGA-OR-A5K0-01A-11R-A29W-13"	"TCGA-OR-A5K1-01A-11R-A29W-13"	"TCGA-OR-A5K3-01A-11R-A29W-13"	"TCGA-OR-A5K4-01A-11R-A29W-13"	"TCGA-OR-A5K5-01A-11R-A29W-13"	"TCGA-OR-A5K6-01A-11R-A29W-13"	"TCGA-OR-A5K8-01A-11R-A29W-13"	"TCGA-OR-A5KO-01A-11R-A29W-13"	"TCGA-OR-A5KU-01A-11R-A29W-13"	"TCGA-OR-A5KW-01A-11R-A29W-13"	"TCGA-OR-A5KX-01A-11R-A29W-13"	"TCGA-OR-A5KY-01A-11R-A29W-13"	"TCGA-OR-A5KZ-01A-11R-A29W-13"	"TCGA-OR-A5LD-01A-11R-A29W-13"	"TCGA-OR-A5LG-01A-11R-A29W-13"	"TCGA-OR-A5LH-01A-11R-A29W-13"	"TCGA-OR-A5LJ-01A-11R-A29W-13"	"TCGA-OR-A5LK-01A-11R-A29W-13"	"TCGA-OR-A5LL-01A-11R-A29W-13"	"TCGA-OR-A5LN-01A-11R-A29W-13"	"TCGA-OR-A5LO-01A-11R-A29W-13"	"TCGA-OR-A5LP-01A-11R-A29W-13"	"TCGA-OR-A5LS-01A-11R-A29W-13"	"TCGA-OR-A5LT-01A-11R-A29W-13"	"TCGA-OU-A5PI-01A-12R-A29W-13"	"TCGA-PA-A5YG-01A-11R-A29W-13"	"TCGA-PK-A5H9-01A-11R-A29W-13"	"TCGA-PK-A5HA-01A-11R-A29W-13"
"hsa-mir-133b"	19	1	0	1	0	0	15	0	0	0	0	14	1	0	0	2	0	0	0	0	14	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	2
"hsa-mir-134"	407	41173	16986	17666	9792	47	52433	17190	144	40581	97	244	366	285	188	139	203	3775	33482	13019	71468	304	32265	332	42379	18292	392	19926	29999	15006	137	13581	587	9153	11195	38355	172	21370	3605	9963	133	12811	378
"hsa-mir-135a-1"	129	37	5	39	0	24	21	43	12	17	3	25	1	218	1	477	19	57	3	114	14	4	6	94	10	0	33	193	5	10	114	91	383	3	18	26	2	29	3	19	5	1	25
"hsa-mir-135a-2"	0	21	0	0	0	5	0	11	0	0	0	0	0	16	0	80	1	1	1	5	0	0	3	7	1	0	0	11	0	0	20	3	31	2	0	1	0	5	0	3	0	1	2
"hsa-mir-135b"	13	5	0	0	4	5	31	1	0	1	0	1	0	1	0	1	0	0	0	2	2	0	0	1	0	0	1	102	187	0	0	0	0	0	1	6	0	0	0	2	1	0	0
"hsa-mir-136"	245	10965	28456	7306	2086	14	10682	6735	41	6278	17	103	106	55	33	31	44	1761	12046	3200	10103	64	9861	132	17930	5528	126	2343	6407	4722	58	3352	99	2660	4699	34554	54	12186	964	8421	35	10556	189
"hsa-mir-137"	2	0	0	1	12	105	0	1	73	0	6	19	5	5	0	0	1	30	156	0	0	0	0	1	2	0	1	0	0	0	103	0	330	0	206	1	9	1	1	21	22	1	1
"hsa-mir-138-1"	160	7	1	1	0	34	0	1	4	0	11	36	0	10	2	4	5	17	1	1	5	1	0	9	4	2	7	1	2	0	9	1	44	1	0	4	0	10	7	56	15	3	2
"hsa-mir-138-2"	108	5	1	3	0	19	3	1	2	1	5	24	0	4	0	3	8	7	1	2	2	3	0	10	4	1	8	1	1	1	4	3	17	1	0	2	1	2	4	51	7	6	3
"hsa-mir-139"	77966	4052	1480	6130	522	56463	356	2149	347	21041	273	378	3283	69909	258	15728	742	118	409	24552	20357	1267	2479	14570	2628	768	21216	422	8662	1924	1768	3446	432	6569	823	16967	522	16642	113	16716	1420	4333	510
"hsa-mir-140"	15344	10485	7873	7008	5149	10281	17907	5680	13821	11545	14967	12509	30352	7814	21947	6430	23332	40726	68668	2912	4059	17493	14866	7367	11338	11758	10114	11887	58795	23207	10190	4043	15083	12141	20510	14995	19230	12650	9650	11429	32337	24837	14163
"hsa-mir-141"	312	16	13	10	46	0	82	18	4	58	4	39	16	73	22	69	16	15	24	12	29	18	1	26	43	47	77	22	9	2	19	10	6	12	6	10	7	21	27	14	6	29	11
"hsa-mir-142"	4979	1201	1694	1570	7722	470	1863	597	3027	1039	425	12621	1831	2617	1692	1046	1430	2849	775	2356	4928	1111	1090	3331	902	750	2093	895	278	2200	2670	1462	5643	1598	7045	1138	1858	2608	627	1458	12188	2128	7359
"hsa-mir-143"	141207	98616	34234	98888	88862	123994	311392	40450	67270	94298	83275	165561	155411	60426	43795	44100	215766	106098	74089	37840	47338	94920	135379	120148	83945	380085	117684	194582	133119	55282	113071	97860	68303	77711	81921	236960	118078	63627	28239	123330	198165	405403	212866
"hsa-mir-144"	246	915	982	1350	3857	198	558	227	249	389	85	126	560	546	443	1151	342	4213	220	201	1799	210	594	1188	558	93	89	655	155	187	6036	83	527	415	851	1898	209	5337	166	40	305	789	134
"hsa-mir-145"	15439	3893	1531	3439	7463	5063	22512	2723	4719	5066	2124	11742	7739	3072	2970	2464	20566	2671	4759	880	4740	5268	6504	5597	3095	17187	7064	4743	11244	4513	3846	3726	3569	5145	2847	12566	4613	2401	1303	12226	17443	11460	6022
"hsa-mir-1468"	269	133	90	23	9	282	1066	101	429	94	54	147	239	49	30	77	81	426	153	22	88	586	190	133	322	328	65	567	2207	55	269	158	386	56	239	1009	119	149	49	107	237	138	323
"hsa-mir-146a"	144	21	52	14	283	9	38	28	154	36	16	541	38	132	62	24	39	96	54	2	17	26	16	34	9	46	34	36	10	30	81	34	528	20	259	34	97	49	26	33	380	158	254
"hsa-mir-146b"	2775	1308	415	368	11853	164	1268	762	767	1435	245	1432	917	1509	754	706	459	909	521	618	677	523	1369	1559	1151	1095	2530	705	228	1266	698	495	2310	1367	1026	1588	802	262	281	919	1336	465	1745
"hsa-mir-148a"	365127	423738	99996	115635	41471	72629	375820	293609	193253	587271	171914	277853	170722	129018	144785	1178015	203482	95499	366117	355570	276008	236206	134968	238578	398422	663507	283111	144354	318526	187530	58612	257888	346804	313647	177337	608718	233450	220913	148451	334754	579617	75041	23488
"hsa-mir-148b"	2006	719	699	964	452	1347	1763	718	1410	915	1205	1002	717	2619	2032	746	1456	1642	2086	791	318	667	437	1037	1284	786	801	1139	1423	618	1684	308	1099	413	2183	1986	779	868	851	474	799	1118	1339
"hsa-mir-149"	1381	102	322	144	564	193	594	100	527	146	891	173	70	394	619	772	570	196	391	2465	466	359	332	146	290	1149	1120	737	1538	404	99	152	98	25	109	116	35	164	175	191	222	308	100
"hsa-mir-150"	1336	57	761	62	930	135	156	134	482	627	135	700	372	63	150	79	305	251	155	45	332	170	79	175	104	243	154	297	177	370	599	125	1739	262	1948	176	435	297	53	180	2972	449	1132
"hsa-mir-151"	7427	6043	3369	4487	4125	11488	7739	13647	5827	10654	5589	4116	8723	5895	9041	8392	6290	5613	9229	3136	4828	6873	7342	3403	8575	6246	8022	15512	7873	5215	5971	2118	5051	5883	11252	11005	4585	5098	4738	3663	6104	13349	9048
"hsa-mir-152"	1526	71	761	145	890	78	184	201	411	1917	61	95	149	601	884	96	232	79	414	409	392	107	1048	650	142	96	289	723	300	401	906	139	613	738	646	1176	90	660	2400	265	1104	1676	211
"hsa-mir-153-1"	5	71	5	1	3	34	281	3	8	3	0	16	2	1	3	0	2	0	1	18	4	343	507	5	8	4	58	2	63	0	36	84	0	1	1	112	0	59	0	67	0	1	2
"hsa-mir-153-2"	249	1971	56	65	15	1058	5723	157	30	20	6	293	37	15	11	3	26	10	11	405	23	10049	9132	72	156	19	2097	65	577	21	263	2251	14	19	23	1504	15	1719	4	2163	43	87	77
"hsa-mir-154"	21	1823	1668	971	309	1	1757	744	6	690	2	19	14	13	3	4	6	225	4508	400	577	5	2069	17	2161	1018	11	717	1098	529	11	346	15	219	488	2025	8	1621	111	575	6	1282	14
"hsa-mir-155"	566	127	64	189	1448	104	351	138	253	279	83	547	173	484	161	81	156	487	136	179	201	175	307	4837	205	211	339	286	54	177	185	166	624	186	454	183	407	92	53	204	605	183	576
"hsa-mir-15a"	596	651	488	489	1241	754	585	503	836	1431	239	699	1329	592	800	143	825	1202	634	130	774	1335	1346	361	681	914	831	836	756	1609	752	337	1092	1660	2541	733	916	926	894	896	1356	1522	968
"hsa-mir-15b"	1660	689	272	982	899	984	1527	667	962	3647	189	1596	2083	873	682	1939	701	1143	995	276	1099	2571	2253	893	346	648	1742	1586	2917	1687	575	1179	2304	996	1158	1287	499	2148	686	1915	962	540	574
"hsa-mir-16-1"	2009	1047	713	1094	3409	1097	1162	623	1414	2638	248	1448	1964	725	860	1719	1082	1951	821	228	2758	2490	2143	1774	841	1270	1608	1349	1922	2822	1367	901	1850	2920	2587	1261	778	2560	892	2156	1773	1399	1712
"hsa-mir-16-2"	142	27	20	90	164	36	152	53	39	105	6	71	65	43	38	76	33	91	113	23	56	90	141	106	27	108	81	83	152	74	49	30	82	42	40	83	17	108	36	63	41	29	32
"hsa-mir-17"	2551	1030	635	788	1766	2821	2472	1408	724	1691	570	1264	1319	2006	942	1511	788	1407	1048	283	965	1792	1531	769	1271	1869	1138	3243	921	1248	1636	769	1018	1292	1549	1516	883	1318	803	802	1563	1801	1413
"hsa-mir-181a-1"	56505	5053	10516	13172	16861	22630	18751	21397	27854	12966	31513	24864	18960	16779	17948	4803	20674	30100	45625	8719	6616	22843	11013	5160	11117	27865	10584	5749	11030	15418	12603	3108	13089	22464	52239	11730	19203	12610	15428	12285	34470	13400	24199
"hsa-mir-181a-2"	16298	1363	400	8762	8520	4650	7496	4957	6024	1923	1687	9908	7811	2452	2982	5383	3838	4397	3537	2467	5494	6391	4849	1563	4851	2453	13368	3037	1754	7842	1266	953	5733	7207	8347	2978	2222	4972	6827	12152	8966	4622	4975
"hsa-mir-181b-1"	6208	1352	1109	3117	3035	4754	4574	6174	3104	3364	3981	2893	3540	6430	4385	2083	2668	2579	5597	2580	2631	2910	1428	1054	2126	8006	2825	2355	2923	2798	2032	586	1581	4104	4462	2898	2465	2414	1524	4777	3449	1709	2511
"hsa-mir-181b-2"	211	24	30	120	188	133	144	249	114	90	86	101	122	186	143	50	113	138	206	82	125	95	64	43	43	406	115	98	91	167	51	12	133	192	299	58	86	138	104	169	133	51	158
"hsa-mir-181c"	1283	121	39	80	71	357	172	84	74	463	16	180	207	50	115	94	180	124	206	153	127	78	408	175	68	75	190	65	136	49	168	344	441	46	228	5375	317	321	213	410	206	478	1217
"hsa-mir-181d"	201	56	4	32	13	95	59	25	14	250	9	22	86	14	50	24	36	21	54	46	70	17	101	43	15	38	45	28	52	18	36	91	95	16	33	1617	119	78	54	194	42	64	99
"hsa-mir-182"	126587	11955	4576	120139	15030	38820	19019	223665	14702	422977	3233	100984	37010	109791	6192	742295	3791	7565	9930	226319	7099	3510	23694	12925	5986	5727255	79991	218285	52643	44964	15597	108632	106138	14391	73481	376097	16105	19684	1953	161089	62241	3749	114707
"hsa-mir-183"	61196	2764	1339	43639	2734	12785	5931	119738	5026	80989	997	26682	4756	62355	1726	198275	986	1179	3553	113473	1179	722	8654	3356	1885	2562123	23257	99283	26009	11199	3932	17196	36634	2298	29323	144148	3622	4019	461	24754	12950	1582	54838
"hsa-mir-184"	1119	541	31	2	135	0	748	31	14	16	11	2528	19	98	5	31	4	54	218	61	189	7	28	103	931	2	48	1615	1	7	6226	346	7271	40	24	133	2	34	2	6	60	2	4834
"hsa-mir-185"	298	328	210	441	391	178	588	166	175	1081	489	322	398	528	654	487	331	1401	867	117	356	304	390	266	400	331	225	361	566	217	806	226	559	245	560	1312	342	508	439	221	647	510	592
"hsa-mir-186"	1209	479	596	662	1860	953	2746	1342	1152	983	979	1058	970	1511	1902	450	1134	1299	3136	900	639	1073	854	719	816	575	1637	1995	2179	788	893	442	1370	463	1196	1165	721	549	784	802	2025	1059	1152
"hsa-mir-187"	51	1	0	12	9	32	3	8	7	1	5	2	0	1	0	5	0	0	19	1	4	1	1	262	1	1	21	64	7	0	7	2	39	0	2	13	0	1	2	1	4	0	0
"hsa-mir-188"	23	21	3	30	10	30	29	11	22	8	13	69	11	14	12	5	15	49	40	2	5	16	7	9	15	14	25	23	14	7	16	4	21	12	29	30	7	25	20	28	51	84	18
"hsa-mir-18a"	26	11	11	20	64	19	41	23	6	27	2	8	8	74	9	26	5	12	26	4	22	9	14	33	20	60	18	98	72	20	42	10	20	5	13	23	5	35	2	3	18	23	22
"hsa-mir-190"	15	11	30	7	39	3	8	6	5	10	4	13	18	3	4	29	9	19	16	3	19	8	4	13	17	3	12	3	2	2	39	3	10	5	17	23	2	16	1	10	5	48	3
"hsa-mir-1909"	0	0	2	1	0	0	1	4	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	2	0	14	1	1	0	0	0	1	1	2	0	0	1	0	0	0	0
"hsa-mir-190b"	4	0	0	3	4	0	5	6	1	1	0	3	1	2	0	1	0	0	3	4	3	1	1	3	2	1	0	2	3	1	2	0	2	4	1	2	0	0	0	0	1	0	2
"hsa-mir-191"	17103	2477	2451	3545	2986	3152	6488	3081	5362	6279	1582	7865	3035	3760	3411	7889	3626	2439	4061	2573	6137	3380	2036	3424	2009	6229	6059	2907	12792	4303	1545	2819	3549	3667	4931	5338	2083	3195	8336	3720	2378	2223	3638
"hsa-mir-192"	1513	2720	1228	7479	1681	432	9712	436	504	2112	336	2393	1679	2276	575	4717	1131	4261	1282	1121	2156	2112	825	3939	6543	1248	4669	571	723	344	581	839	763	1093	574	2557	748	6076	10654	1759	767	161165	1256
"hsa-mir-193a"	769	259	266	359	357	384	298	270	341	178	341	531	464	124	340	207	411	170	467	80	138	313	331	247	103	303	195	131	127	233	336	166	272	342	569	553	263	276	149	155	269	887	1007
"hsa-mir-193b"	428	1316	1282	485	158	1450	1583	150	2362	1945	393	1071	1630	526	1787	933	1131	1371	1966	352	430	1160	1348	698	1097	2144	1127	742	1497	1739	914	486	737	2390	1529	1271	643	1720	709	1354	1495	1537	2072
"hsa-mir-194-1"	152	467	264	880	250	166	755	112	94	346	106	270	308	400	119	603	203	1176	241	303	171	330	148	453	806	273	391	156	183	58	371	190	213	196	129	709	216	1019	1313	219	211	49413	262
"hsa-mir-194-2"	191	547	330	1162	324	177	943	147	107	453	111	279	379	532	134	666	245	1401	312	387	192	356	218	606	1116	418	477	174	210	76	359	247	243	254	167	817	221	1215	1760	266	259	57690	292
"hsa-mir-195"	217	549	23	28	20	34	116	54	24	68	7	15	101	15	1	819	19	13	17	12	645	79	263	272	163	15	112	28	53	51	42	52	102	106	511	189	61	27	12	120	292	197	47
"hsa-mir-196a-1"	54	165	3	725	86	861	2035	2663	6	1094	11	100	82	684	8	1777	22	246	98	536	35	301	118	830	558	343	427	17	1534	163	201	82	311	18	8	2055	2	157	17	141	20	82	32
"hsa-mir-196a-2"	13	60	2	111	23	198	744	1046	2	246	3	16	37	152	0	248	11	113	43	70	5	186	49	320	257	112	152	7	618	77	64	27	96	6	0	827	2	95	10	78	4	25	4
"hsa-mir-196b"	671	554	51	1479	505	699	798	4858	182	1040	19	223	2677	792	327	259	182	282	455	864	576	1353	1407	374	604	14229	1315	862	876	782	199	1066	494	271	20	2621	222	462	4	1035	440	73	69
"hsa-mir-197"	4388	963	1327	1897	4384	898	4787	1169	1053	1858	387	1293	1006	4334	1323	1144	665	1145	992	760	3164	1559	928	1092	853	1118	2344	1979	2475	584	1004	552	1140	538	998	1093	554	945	982	1149	1085	649	1340
"hsa-mir-1976"	45	48	80	55	62	108	37	43	35	23	2	123	54	116	8	85	17	42	17	19	45	19	22	19	34	76	48	35	51	21	37	19	45	18	65	72	23	59	47	22	123	17	25
"hsa-mir-199a-1"	7090	608	160	340	22498	289	1122	1172	321	1417	212	327	1444	188	167	381	361	194	386	475	446	905	1558	1380	519	175	2005	6819	3628	1312	924	411	419	2849	273	1558	850	127	80	3372	865	2039	966
"hsa-mir-199a-2"	10632	922	277	551	33732	412	1839	1833	461	1881	247	538	1938	306	257	537	514	299	466	812	706	1358	2352	2029	782	262	2979	9830	5315	1770	1402	651	588	3991	401	2290	1267	202	137	4647	1212	3347	1482
"hsa-mir-199b"	10119	938	281	635	39258	401	2022	1968	445	1645	239	604	1865	346	273	561	442	315	420	944	756	1558	2380	2080	798	223	3154	8223	5084	1459	1340	643	527	3449	422	2217	1135	247	139	3973	1196	3727	1781
"hsa-mir-19a"	218	64	30	50	175	103	201	63	29	103	29	83	54	121	45	64	28	97	88	17	149	114	88	72	86	108	48	127	75	86	132	64	50	67	79	94	37	73	45	48	62	75	60
"hsa-mir-19b-1"	28	22	4	5	18	22	30	16	12	8	9	12	25	14	10	18	9	10	24	5	15	38	19	5	18	17	19	35	10	15	14	12	7	17	13	24	13	11	7	19	21	24	17
"hsa-mir-19b-2"	531	236	157	163	702	448	640	216	138	378	78	244	243	298	165	309	151	237	254	82	344	408	294	308	293	592	231	423	379	432	491	289	272	281	269	497	103	234	170	282	288	308	294
"hsa-mir-200a"	25	16	3	0	1	2	11	395	9	16	1	25	1	1	5	211	3	3	5	0	1	1	8	4	3	3	11	37	444	2	4	7	4	9	5	0	2	1	0	0	9	709	3
"hsa-mir-200b"	13	8	3	3	5	3	12	314	1	17	2	17	6	0	5	154	4	1	8	0	3	5	7	2	6	0	6	28	206	9	1	8	18	8	8	3	1	0	0	6	10	726	9
"hsa-mir-200c"	875	66	133	46	244	8	256	144	32	327	15	132	57	287	68	290	51	54	106	58	141	63	24	76	165	412	208	121	30	39	122	38	53	67	44	40	31	36	48	51	33	126	53
"hsa-mir-202"	15989	18631	21577	51544	22	16535	15353	18204	8130	14059	4335	13747	34726	2158	5222	11136	8852	17353	19899	2234	12081	25522	9738	24963	9772	29487	50565	11610	61636	17401	27462	2393	6875	21922	3255	44514	2367	16231	1841	34398	8481	6386	422
"hsa-mir-203"	1107	833	179	469	80	438	2786	5705	3564	467	228	493	5860	26	2288	775	134	1115	10356	2677	870	3773	3835	2642	1690	270	428	46	145	360	1092	4286	4669	1045	3244	1242	765	2378	899	4023	196	229	18935
"hsa-mir-204"	2809	42	8	407	11	1378	1264	72	16	218	316	413	1034	756	446	1624	1157	566	700	870	593	1626	1459	1224	160	9	831	2327	3174	598	475	443	32	102	1735	861	214	376	3394	325	63	109	4
"hsa-mir-205"	8	1	0	0	0	0	7	0	1	0	0	15	0	0	0	0	0	0	0	0	9	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	4	0	0
"hsa-mir-206"	328	1	0	0	2	14	190	1	0	0	3	189	0	21	0	0	0	0	1	9	231	0	0	0	5	0	4	0	0	0	7	1	0	0	0	0	1	0	0	0	3	0	0
"hsa-mir-20a"	1402	421	330	382	946	1370	1108	663	469	1093	383	768	839	1325	556	886	445	1524	635	146	381	1031	728	506	411	832	557	1732	350	564	1391	286	737	893	1054	721	834	968	482	410	1158	850	1037
"hsa-mir-20b"	87	59	59	185	249	182	149	58	54	56	14	65	50	66	30	52	41	195	54	17	210	52	96	93	20	70	27	70	79	20	181	12	41	23	88	104	33	249	42	119	45	82	42
"hsa-mir-21"	771767	815634	113620	164526	894898	74762	463738	413249	172575	559757	256516	276408	329728	843267	388872	577563	274914	394888	200591	153325	224799	404416	350791	1458033	197133	240395	212390	257961	72413	382443	183145	124970	477541	407844	454752	399763	436205	78927	625853	397454	457467	431504	758945
"hsa-mir-210"	396	23490	1522	693	2613	224	43077	2828	3967	9020	2787	3121	7522	12529	18503	26450	912	6524	7498	17216	12050	3214	9567	15502	11597	12947	5849	6452	1846	3957	1005	163	395	925	1830	13803	1268	201	19387	1841	1977	776	648
"hsa-mir-2110"	6	6	7	18	6	22	7	38	9	17	8	5	28	25	14	13	3	14	12	19	7	25	25	9	15	13	18	12	37	9	14	13	15	28	13	28	3	6	23	61	11	18	11
"hsa-mir-2114"	10	4	13	1	0	0	171	0	9	1	3	9	3	4	3	1	0	11	14	3	12	10	10	28	5	5	8	4	1	6	3	5	35	28	33	4	7	0	9	3	8	0	56
"hsa-mir-212"	25	12	3	13	23	12	79	25	10	29	3	8	12	34	13	28	6	11	22	15	8	15	18	31	3	9	24	36	23	21	9	3	25	20	16	65	9	11	4	9	8	15	16
"hsa-mir-214"	107	13	7	5	1116	7	29	24	9	31	6	10	21	3	3	5	8	3	8	14	21	19	31	48	7	3	46	435	29	35	13	10	9	55	5	27	12	2	2	90	14	26	20
"hsa-mir-215"	71	33	70	57	31	6	78	112	92	44	18	5	17	59	8	81	4	22	18	343	20	23	14	21	82	4	42	8	8	8	19	6	8	10	46	37	8	82	12	8	6	420	197
"hsa-mir-216a"	12	0	1	1	0	0	0	4	1	4	234	1	1	174	17	0	9	3	55	4	2	0	0	3	6	1	3	1	0	1	0	3	3	1	0	1	4	0	0	1	1	2	0
"hsa-mir-216b"	0	0	0	0	0	0	1	0	0	2	196	0	0	224	31	0	14	2	42	0	2	0	3	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1
"hsa-mir-217"	361	124	68	75	48	7	64	246	29	269	15036	131	14	12304	1716	8	830	235	2763	33	55	34	45	250	346	43	116	40	17	55	70	263	335	74	43	80	282	12	18	212	46	114	65
"hsa-mir-218-1"	9	12	0	0	5	146	4	68	0	19	1	0	15	2	1	116	0	5	8	5	56	8	3	4	1	11	29	27	54	2	10	0	0	25	0	1	1	31	2	51	0	2	0
"hsa-mir-218-2"	428	714	14	74	537	6640	1222	1854	127	592	183	67	470	708	362	3978	142	284	329	537	981	183	104	206	200	773	741	1295	2868	95	581	127	112	498	24	126	59	645	179	1408	129	61	36
"hsa-mir-219-1"	20	65	11	14	9	11	47	15	13	32	10	11	21	41	19	15	18	17	41	13	67	2	21	3	25	12	38	17	28	9	25	6	11	0	20	29	6	11	7	10	12	25	13
"hsa-mir-22"	1510974	1251826	585952	1243171	413419	558614	1048776	662563	989652	1328665	423043	868307	2301499	484687	951854	814959	742566	1425184	660077	209841	570526	1497173	633874	632237	777135	342208	1739846	243194	440492	977710	781225	352185	802462	2753979	1826128	1852698	1068409	1129795	1469599	1076957	1503863	1002301	468630
"hsa-mir-221"	183	44	107	81	1806	70	97	681	82	106	327	294	239	55	69	59	128	108	81	99	92	140	324	186	56	71	123	1387	50	112	137	101	242	131	543	174	106	60	40	175	382	328	181
"hsa-mir-222"	109	12	32	19	718	30	31	308	40	30	121	161	99	17	38	32	59	38	32	37	39	49	123	68	30	23	24	398	28	30	44	26	73	48	168	65	54	37	9	96	74	120	51
"hsa-mir-223"	459	159	412	615	1971	194	434	103	332	542	140	1393	526	524	213	164	287	304	268	126	342	98	233	632	190	271	200	330	55	538	818	159	1185	596	1240	777	216	577	78	232	672	622	462
"hsa-mir-224"	125	36	103	22	340	51	34	86	1470	35	515	21	22	11562	646	33	64	20	166	18	10	29	124	85	34	1010	47	49	36	136	27	22	594	385	629	74	130	22	451	66	32	1537	59
"hsa-mir-2277"	8	6	3	5	4	9	26	8	5	12	11	12	6	21	7	19	8	14	25	5	6	16	8	9	2	3	7	9	10	4	8	2	5	0	8	14	9	6	4	3	8	4	6
"hsa-mir-2355"	227	178	242	129	852	119	1109	116	534	103	97	345	178	235	671	98	238	210	390	97	160	440	342	316	193	234	622	366	213	232	151	43	360	106	426	193	360	81	333	157	370	390	522
"hsa-mir-23a"	85573	6095	6351	7360	13960	17210	17916	8108	9601	15117	6694	14844	28229	5516	15319	6295	4362	4550	8859	9367	13067	21663	12251	8054	14857	2924	34006	3761	3589	10355	3731	8616	9214	11141	32365	8548	18175	11739	16456	45211	28383	21826	22454
"hsa-mir-23b"	6764	1750	3059	3018	1636	1274	3673	1987	2071	2265	853	1356	2577	1158	1389	7114	1310	923	2684	1256	988	2092	2609	933	1071	2954	2212	1891	1857	2057	1065	833	1326	2963	3140	1895	1587	958	1729	2519	3892	28740	2999
"hsa-mir-24-1"	159	33	75	95	51	36	114	81	50	52	11	29	59	31	16	386	16	21	66	50	87	40	37	79	29	140	45	68	70	74	32	35	28	58	63	79	30	19	61	101	486	278	72
"hsa-mir-24-2"	12012	1502	2199	3247	3415	6416	6561	1890	1360	4347	1511	2095	3497	3004	1582	3991	599	1102	1756	4552	2246	1783	2330	4455	2559	2408	4654	3459	2272	1850	1569	1750	2026	2382	6538	2802	1877	2386	2153	4538	4356	8966	5370
"hsa-mir-25"	38057	23410	11359	60679	37144	29553	66451	20743	28977	43025	11476	24782	30790	57425	16389	36321	28549	57041	33307	8115	65238	58691	33328	20659	26562	44600	41653	119687	40377	21791	30305	22747	42136	21841	40791	36379	28973	34286	22549	27456	37822	21138	27903
"hsa-mir-26a-1"	24	7	6	3	17	2	3	3	3	5	3	3	4	3	3	8	3	6	7	0	0	8	2	5	1	4	6	12	2	5	2	4	6	7	8	3	6	2	6	6	11	14	1
"hsa-mir-26a-2"	23136	6650	13479	10298	10641	11258	15034	6401	12468	9536	4775	8561	19491	19865	11396	21320	12169	15251	20291	5975	6475	12576	5951	12734	7634	22893	8059	7788	10917	11423	15829	5098	16411	10132	15031	41680	6476	11940	8724	10955	17840	20536	20187
"hsa-mir-26b"	4471	1343	3775	3117	3160	1217	4824	1445	2141	2548	607	1859	1619	3272	1378	3641	1202	1386	1951	2094	3302	1438	1534	3429	1370	6934	2046	2337	6267	4587	1654	836	2683	1739	2424	3315	1289	1335	1567	1843	3272	2870	3378
"hsa-mir-27a"	15327	2074	1800	2228	3572	4735	8417	2036	1960	4819	1141	2212	5295	1821	2352	2883	750	1042	1588	3962	4244	3159	2776	5113	3660	1382	6761	1928	1328	2468	1197	2021	2510	2146	5852	3154	3118	3709	3147	11334	6885	4064	5318
"hsa-mir-27b"	4965	1950	2751	4158	1736	1290	6061	1658	1936	2507	615	1093	2156	1393	1050	12732	959	932	2161	1585	1787	1778	2013	1938	1029	3264	2215	2714	2125	2004	1257	1103	1190	1847	2300	2394	1168	1352	2057	2424	5197	16261	3379
"hsa-mir-28"	21109	9183	8946	11857	10635	6113	36045	8482	20476	13252	7185	10870	19765	11330	29018	8238	16937	16940	31056	5850	11646	22798	24135	8940	10326	21232	11705	11381	16745	13974	8595	8828	19156	12831	17208	18450	12381	7286	8004	16854	26984	22128	15565
"hsa-mir-296"	6	2	145	6	0	0	4	2	2	5	2	2	2	0	4	49	0	0	16	0	6	6	0	7	0	0	2	75	6	3	4	6	1	7	12	5	0	3	3	6	6	41	9
"hsa-mir-299"	13	718	709	516	270	1	922	643	3	624	2	8	3	4	3	2	6	290	1019	165	487	6	694	7	803	104	6	787	709	280	3	474	13	42	214	887	5	846	75	282	2	368	11
"hsa-mir-29a"	36725	22351	32282	15471	22312	21859	47865	7162	45516	25879	14504	58109	69507	16845	16319	21445	24691	36076	17987	4634	5521	46764	19454	58419	25333	20113	15051	8607	2111	27782	49905	17442	55830	34885	37926	117064	25391	48256	12896	48032	47396	44152	61631
